constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
1,18,1,14.0,1,1,1,786
2,18,2,8.0,3,3,0,786
3,18,3,9.0,2,2,0,786
4,18,4,5.0,4,4,0,786
5,18,5,2.0,5,5,0,786
6,18,6,1.0,6,6,0,786
7,19,1,24.0,1,1,1,787
8,19,2,19.0,2,2,0,787
9,19,3,9.0,4,4,0,787
10,19,4,6.0,5,5,0,787
11,19,5,2.0,8,8,0,787
12,19,6,11.0,3,3,1,787
13,19,7,5.0,6,6,0,787
14,19,9,2.0,7,7,0,787
15,19,11,0.0,9,9,0,787
16,19,10,0.0,10,10,0,787
17,19,8,0.0,11,11,0,787
18,20,1,28.0,3,3,1,788
19,20,2,30.0,1,1,0,788
20,20,3,10.0,4,4,0,788
21,20,4,6.0,6,6,0,788
22,20,5,2.0,8,8,0,788
23,20,6,29.0,2,2,2,788
24,20,7,8.0,5,5,0,788
25,20,9,4.0,7,7,0,788
26,20,11,0.0,9,9,0,788
27,20,10,0.0,10,10,0,788
28,20,8,0.0,11,11,0,788
29,21,1,34.0,3,3,1,789
30,21,2,35.0,2,2,0,789
31,21,3,12.0,4,4,0,789
32,21,4,6.0,7,7,0,789
33,21,5,2.0,9,9,0,789
34,21,6,47.0,1,1,3,789
35,21,7,9.0,5,5,0,789
36,21,9,8.0,6,6,0,789
37,21,11,3.0,8,8,0,789
38,21,10,0.0,10,10,0,789
39,21,8,0.0,11,11,0,789
40,22,1,42.0,3,3,1,790
41,22,2,44.0,2,2,0,790
42,22,3,13.0,4,4,0,790
43,22,4,9.0,7,7,0,790
44,22,5,2.0,9,9,0,790
45,22,6,63.0,1,1,4,790
46,22,7,9.0,6,6,0,790
47,22,9,10.0,5,5,0,790
48,22,11,3.0,8,8,0,790
49,22,10,0.0,10,10,0,790
50,22,8,0.0,11,11,0,790
51,23,1,53.0,2,2,2,791
52,23,2,52.0,3,3,0,791
53,23,3,15.0,4,4,0,791
54,23,4,9.0,7,7,0,791
55,23,5,6.0,8,8,0,791
56,23,6,69.0,1,1,4,791
57,23,7,9.0,6,6,0,791
58,23,9,15.0,5,5,0,791
59,23,11,6.0,9,9,0,791
60,23,10,0.0,10,10,0,791
61,23,8,0.0,11,11,0,791
62,24,1,53.0,3,3,2,792
63,24,2,70.0,2,2,1,792
64,24,3,15.0,6,6,0,792
65,24,4,9.0,7,7,0,792
66,24,5,7.0,9,9,0,792
67,24,6,73.0,1,1,4,792
68,24,7,17.0,5,5,0,792
69,24,9,21.0,4,4,0,792
70,24,11,8.0,8,8,0,792
71,24,10,0.0,10,10,0,792
72,24,8,0.0,11,11,0,792
73,25,1,58.0,3,3,2,793
74,25,2,74.0,2,2,1,793
75,25,3,15.0,6,6,0,793
76,25,4,12.0,7,7,0,793
77,25,5,7.0,9,9,0,793
78,25,6,91.0,1,1,5,793
79,25,7,23.0,5,5,0,793
80,25,9,24.0,4,4,0,793
81,25,11,8.0,8,8,0,793
82,25,10,0.0,10,10,0,793
83,25,8,0.0,11,11,0,793
84,26,1,72.0,3,3,3,794
85,26,2,82.0,2,2,1,794
86,26,3,16.0,6,6,0,794
87,26,4,15.0,7,7,0,794
88,26,5,7.0,9,9,0,794
89,26,6,96.0,1,1,5,794
90,26,7,25.0,4,4,0,794
91,26,9,24.0,5,5,0,794
92,26,11,14.0,8,8,0,794
93,26,10,0.0,10,10,0,794
94,26,8,0.0,11,11,0,794
95,27,1,86.0,3,3,4,795
96,27,2,89.0,2,2,1,795
97,27,3,16.0,7,7,0,795
98,27,4,23.0,6,6,0,795
99,27,5,8.0,9,9,0,795
100,27,6,105.0,1,1,5,795
101,27,7,25.0,4,4,0,795
102,27,9,24.0,5,5,0,795
103,27,11,14.0,8,8,0,795
104,27,10,0.0,10,10,0,795
105,27,8,0.0,11,11,0,795
106,28,1,100.0,2,2,5,796
107,28,2,90.0,3,3,1,796
108,28,3,16.0,7,7,0,796
109,28,4,31.0,5,5,0,796
110,28,5,8.0,9,9,0,796
111,28,6,111.0,1,1,5,796
112,28,7,35.0,4,4,0,796
113,28,9,24.0,6,6,0,796
114,28,11,14.0,8,8,0,796
115,28,10,0.0,10,10,0,796
116,28,8,0.0,11,11,0,796
117,29,1,113.0,2,2,5,797
118,29,2,96.0,3,3,1,797
119,29,3,17.0,7,7,0,797
120,29,4,31.0,5,5,0,797
121,29,5,11.0,9,9,0,797
122,29,6,121.0,1,1,6,797
123,29,7,41.0,4,4,0,797
124,29,9,24.0,6,6,0,797
125,29,11,14.0,8,8,0,797
126,29,10,0.0,10,10,0,797
127,29,8,0.0,11,11,0,797
128,30,1,119.0,2,2,5,798
129,30,2,107.0,3,3,1,798
130,30,3,17.0,7,7,0,798
131,30,4,36.0,5,5,0,798
132,30,5,17.0,8,8,0,798
133,30,6,131.0,1,1,7,798
134,30,7,41.0,4,4,0,798
135,30,9,25.0,6,6,0,798
136,30,11,14.0,9,9,0,798
137,30,10,0.0,10,10,0,798
138,30,8,0.0,11,11,0,798
139,31,1,129.0,2,2,5,799
140,31,2,117.0,3,3,1,799
141,31,3,17.0,8,8,0,799
142,31,4,41.0,5,5,0,799
143,31,5,27.0,6,6,1,799
144,31,6,134.0,1,1,7,799
145,31,7,41.0,4,4,0,799
146,31,9,26.0,7,7,0,799
147,31,11,14.0,9,9,0,799
148,31,10,0.0,10,10,0,799
149,31,8,0.0,11,11,0,799
150,32,1,135.0,1,1,5,800
151,32,2,120.0,3,3,1,800
152,32,3,26.0,8,8,0,800
153,32,4,51.0,4,4,1,800
154,32,5,31.0,6,6,1,800
155,32,6,134.0,2,2,7,800
156,32,7,46.0,5,5,0,800
157,32,9,28.0,7,7,0,800
158,32,11,14.0,9,9,0,800
159,32,10,0.0,10,10,0,800
160,32,8,0.0,11,11,0,800
161,33,1,135.0,2,2,5,801
162,33,2,128.0,3,3,1,801
163,33,3,26.0,8,8,0,801
164,33,4,66.0,4,4,2,801
165,33,5,34.0,6,6,1,801
166,33,6,142.0,1,1,7,801
167,33,7,50.0,5,5,0,801
168,33,9,29.0,7,7,0,801
169,33,11,14.0,9,9,0,801
170,33,10,0.0,10,10,0,801
171,33,8,0.0,11,11,0,801
1643,34,8,0.0,11,11,0,802
1642,34,10,0.0,10,10,0,802
1641,34,11,14.0,9,9,0,802
1640,34,9,29.0,7,7,0,802
1639,34,7,52.0,5,5,0,802
1638,34,6,156.0,1,1,7,802
1637,34,5,34.0,6,6,1,802
1636,34,4,72.0,4,4,2,802
1635,34,3,26.0,8,8,0,802
1634,34,2,135.0,3,3,1,802
1633,34,1,145.0,2,2,6,802
183,35,1,151.0,2,2,6,803
184,35,2,135.0,3,3,1,803
185,35,3,26.0,8,8,0,803
186,35,4,80.0,4,4,2,803
187,35,5,39.0,6,6,1,803
188,35,6,172.0,1,1,8,803
