qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,raceId2,driverId2
1,18,1,1,22,1,01:26.6,01:25.2,01:26.7,786,803
26,19,1,1,22,4,01:35.4,01:34.6,01:36.7,787,803
47,20,1,1,22,3,01:32.7,01:31.9,01:33.3,788,803
71,21,1,1,22,5,01:21.4,01:20.8,01:22.1,789,803
91,22,1,1,22,3,01:26.2,01:26.5,01:27.9,790,803
111,23,1,1,22,3,01:15.6,01:15.3,01:15.8,791,803
129,24,1,1,22,1,01:16.9,01:17.0,01:17.9,792,803
151,25,1,1,22,3,01:15.6,01:15.3,01:16.7,793,803
172,26,1,1,22,4,01:20.3,01:19.5,01:21.8,794,803
189,27,1,1,22,1,01:15.2,01:14.6,01:15.7,795,803
209,28,1,1,22,1,01:19.4,01:19.5,01:20.9,796,803
230,29,1,1,22,2,01:38.5,01:38.0,01:39.2,797,803
249,30,1,1,22,1,01:46.9,01:46.1,01:47.3,798,803
283,31,1,1,22,15,01:35.4,01:39.3,\N,799,803
290,32,1,1,22,2,01:44.5,01:44.9,01:45.5,800,803
309,33,1,1,22,1,01:18.1,01:17.5,01:18.4,801,803
329,34,1,1,22,1,01:35.6,01:34.9,01:36.3,802,803
352,35,1,1,22,4,01:12.2,01:11.9,01:12.8,803,803
372,36,1,1,2,4,01:26.7,01:25.6,01:26.8,769,803
394,37,1,1,2,4,01:35.0,01:34.7,01:36.0,770,803
414,38,1,1,2,2,01:32.6,01:31.8,01:32.9,771,803
438,39,1,1,2,4,01:21.1,01:20.7,01:21.8,772,803
458,40,1,1,2,2,01:15.7,01:15.5,01:15.9,773,803
479,41,1,1,2,1,01:16.6,01:15.5,01:15.7,774,803
501,42,1,1,2,1,01:12.6,01:12.1,01:12.3,775,803
524,43,1,1,2,2,01:14.8,01:14.8,01:15.1,776,803
545,44,1,1,2,1,01:19.9,01:19.4,01:20.0,777,803
576,45,1,1,2,10,01:31.6,01:31.2,01:33.8,778,803
590,46,1,1,2,2,01:19.6,01:19.3,01:19.8,779,803
612,47,1,1,2,2,01:27.5,01:26.9,01:27.4,780,803
634,48,1,1,2,2,01:22.0,01:21.7,01:22.0,781,803
658,49,1,1,2,4,01:46.4,01:45.1,01:46.4,782,803
677,50,1,1,2,1,01:25.5,01:24.8,01:25.4,783,803
699,51,1,1,2,1,01:35.8,01:35.9,01:35.9,784,803
722,52,1,1,2,2,01:13.0,01:12.3,01:12.1,785,803
3000,1,1,1,1,15,01:26.5,\N,\N,804,803
3018,2,1,1,1,13,01:35.3,01:34.9,\N,805,803
3034,3,1,1,1,9,01:35.8,01:35.7,01:38.6,806,803
3050,4,1,1,1,5,01:32.9,01:32.9,01:34.2,807,803
3079,5,1,1,1,14,01:21.0,01:20.8,\N,808,803
3101,6,1,1,1,16,01:16.3,\N,\N,809,803
3121,7,1,1,1,16,01:28.3,\N,\N,810,803
3144,8,1,1,1,19,01:19.9,\N,\N,811,803
3150,9,1,1,1,5,01:31.5,01:39.1,01:32.6,812,803
3169,10,1,1,1,4,01:20.8,01:20.5,01:21.8,813,803
3186,11,1,1,1,1,01:38.6,01:38.2,01:39.5,814,803
3217,12,1,1,1,12,01:45.8,01:45.1,\N,815,803
3226,13,1,1,1,1,01:23.4,01:23.0,01:24.1,816,803
3246,14,1,1,1,1,01:47.0,01:46.7,01:47.9,817,803
3268,15,1,1,1,3,01:30.9,01:30.6,01:32.4,818,803
3303,16,1,1,1,18,01:25.2,\N,\N,819,803
3306,17,1,1,1,1,01:39.9,01:39.7,01:40.9,820,803
3329,337,1,1,2,4,01:55.3,01:54.7,01:55.2,821,803
3360,338,1,1,2,11,01:25.0,01:25.2,\N,822,803
3393,339,1,1,2,20,01:53.1,\N,\N,823,803
3403,340,1,1,2,6,01:35.6,01:34.9,01:35.0,824,803
3424,341,1,1,2,3,01:21.7,01:21.4,01:20.8,825,803
3450,342,1,1,2,5,01:15.7,01:14.5,01:14.4,826,803
3471,343,1,1,2,2,01:27.7,01:27.0,01:26.4,827,803
3494,344,1,1,2,1,01:15.9,01:15.5,01:15.1,828,803
3520,345,1,1,2,3,01:38.7,01:38.2,01:38.0,829,803
3545,346,1,1,2,4,01:31.3,01:31.1,01:30.6,830,803
3571,347,1,1,2,6,01:15.5,01:14.5,01:14.6,831,803
3594,348,1,1,2,5,01:21.5,01:20.9,01:20.5,832,803
3615,349,1,1,2,2,01:56.7,01:46.2,01:45.9,833,803
3642,350,1,1,2,5,01:22.8,01:22.4,01:22.6,834,803
3664,351,1,1,2,3,01:48.3,01:46.0,01:45.6,835,803
3688,352,1,1,2,3,01:32.8,01:31.5,01:31.2,836,803
3713,353,1,1,2,4,01:37.1,01:36.2,01:36.1,837,803
3737,354,1,1,2,4,01:19.9,01:18.9,01:15.7,838,803
3759,355,1,1,2,2,01:40.3,01:40.1,01:39.4,839,803
4538,841,1,1,3,2,01:25.4,01:24.6,01:24.3,840,803
4563,842,1,1,3,2,01:36.9,01:35.9,01:35.0,841,803
4588,843,1,1,3,3,01:36.1,01:34.5,01:34.5,842,803
4613,844,1,1,3,4,01:27.1,01:26.1,01:25.6,843,803
4635,845,1,1,3,3,01:24.4,01:22.1,01:22.0,844,803
4662,846,1,1,3,7,01:15.2,01:14.3,01:15.3,845,803
4684,847,1,1,3,5,01:14.1,01:13.9,01:13.6,846,803
4706,848,1,1,3,3,01:39.2,01:37.7,01:37.4,847,803
4737,849,1,1,3,10,01:33.6,01:32.5,01:32.4,848,803
4753,850,1,1,3,2,01:32.9,01:31.0,01:30.1,849,803
4777,851,1,1,3,2,01:21.6,01:21.1,01:20.0,850,803
4801,852,1,1,3,2,02:03.0,02:02.8,01:48.7,851,803
4826,854,1,1,3,4,01:47.0,01:46.8,01:44.8,853,803
4849,855,1,1,3,3,01:32.8,01:31.1,01:30.6,854,803
4871,856,1,1,3,1,01:37.5,01:36.5,01:35.8,855,803
4896,857,1,1,3,2,01:26.6,01:25.0,01:24.5,856,803
4920,858,1,1,3,2,01:39.8,01:38.4,01:38.6,857,803
4945,859,1,1,3,4,01:13.4,01:12.8,01:12.5,858,803
