year,constructor,wins,rounds,normalizedWins
1950,Alfa Romeo,6,7,0.857142857
1951,Alfa Romeo,4,8,0.5
1952,Ferrari,7,8,0.875
1953,Ferrari,7,9,0.777777778
1954,Mercedes,4,9,0.444444444
1955,Mercedes,5,7,0.714285714
1956,Ferrari,5,8,0.625
1957,Maserati,4,8,0.5
1958,Ferrari,2,11,0.181818182
1959,Cooper-Climax,5,9,0.555555556
1960,Cooper-Climax,6,10,0.6
1961,Ferrari,5,8,0.625
1962,BRM,4,9,0.444444444
1963,Lotus-Climax,7,10,0.7
1964,Ferrari,3,10,0.3
1965,Lotus-Climax,6,10,0.6
1966,Brabham-Repco,4,9,0.444444444
1967,Brabham-Repco,4,11,0.363636364
1968,Lotus-Ford,5,12,0.416666667
1969,Matra-Ford,6,11,0.545454545
1970,Team Lotus,6,13,0.461538462
1971,Tyrrell,7,11,0.636363636
1972,Team Lotus,5,12,0.416666667
1973,Tyrrell,5,15,0.333333333
1974,McLaren,4,15,0.266666667
1975,Ferrari,6,14,0.428571429
1976,McLaren,6,16,0.375
1977,Ferrari,4,17,0.235294118
1978,Team Lotus,8,16,0.5
1979,Ferrari,6,15,0.4
1980,Williams,6,14,0.428571429
1981,Brabham,3,15,0.2
1982,Williams,1,16,0.0625
1983,Brabham,4,15,0.266666667
1984,McLaren,12,16,0.75
1985,McLaren,6,16,0.375
1986,McLaren,4,16,0.25
1987,Williams,9,16,0.5625
1988,McLaren,15,16,0.9375
1989,McLaren,10,16,0.625
1990,McLaren,6,16,0.375
1991,McLaren,8,16,0.5
1992,Williams,10,16,0.625
1993,Williams,10,16,0.625
1994,Benetton,8,16,0.5
1995,Benetton,11,17,0.647058824
1996,Williams,12,16,0.75
1997,Williams,8,17,0.470588235
1998,McLaren,9,16,0.5625
1999,McLaren,7,16,0.4375
2000,Ferrari,10,17,0.588235294
2001,Ferrari,9,17,0.529411765
2002,Ferrari,15,17,0.882352941
2003,Ferrari,8,16,0.5
2004,Ferrari,15,18,0.833333333
2005,Renault,8,19,0.421052632
2006,Renault,8,18,0.444444444
2007,Ferrari,9,17,0.529411765
2008,McLaren,6,18,0.333333333
2009,Brawn,8,17,0.470588235
2010,Red Bull,9,19,0.473684211
2011,Red Bull,12,19,0.631578947
2012,Red Bull,7,20,0.35
2013,Red Bull,13,19,0.684210526
2014,Mercedes,16,19,0.842105263
2015,Mercedes,16,19,0.842105263
2016,Mercedes,19,21,0.904761905
2017,Mercedes,12,20,0.6
2018,Mercedes,11,21,0.523809524
