constructorStandingsId,constructorId,points,position,positionText,wins
18,1,14.0,1,1,1
18,2,8.0,3,3,0
18,3,9.0,2,2,0
18,4,5.0,4,4,0
18,5,2.0,5,5,0
18,6,1.0,6,6,0
19,1,24.0,1,1,1
19,2,19.0,2,2,0
19,3,9.0,4,4,0
19,4,6.0,5,5,0
19,5,2.0,8,8,0
19,6,11.0,3,3,1
19,7,5.0,6,6,0
19,9,2.0,7,7,0
19,11,0.0,9,9,0
19,10,0.0,10,10,0
19,8,0.0,11,11,0
20,1,28.0,3,3,1
20,2,30.0,1,1,0
20,3,10.0,4,4,0
20,4,6.0,6,6,0
20,5,2.0,8,8,0
20,6,29.0,2,2,2
20,7,8.0,5,5,0
20,9,4.0,7,7,0
20,11,0.0,9,9,0
20,10,0.0,10,10,0
20,8,0.0,11,11,0
21,1,34.0,3,3,1
21,2,35.0,2,2,0
21,3,12.0,4,4,0
21,4,6.0,7,7,0
21,5,2.0,9,9,0
21,6,47.0,1,1,3
21,7,9.0,5,5,0
21,9,8.0,6,6,0
21,11,3.0,8,8,0
21,10,0.0,10,10,0
21,8,0.0,11,11,0
22,1,42.0,3,3,1
22,2,44.0,2,2,0
22,3,13.0,4,4,0
22,4,9.0,7,7,0
22,5,2.0,9,9,0
22,6,63.0,1,1,4
22,7,9.0,6,6,0
22,9,10.0,5,5,0
22,11,3.0,8,8,0
22,10,0.0,10,10,0
22,8,0.0,11,11,0
23,1,53.0,2,2,2
23,2,52.0,3,3,0
23,3,15.0,4,4,0
23,4,9.0,7,7,0
23,5,6.0,8,8,0
23,6,69.0,1,1,4
23,7,9.0,6,6,0
23,9,15.0,5,5,0
23,11,6.0,9,9,0
23,10,0.0,10,10,0
23,8,0.0,11,11,0
24,1,53.0,3,3,2
24,2,70.0,2,2,1
24,3,15.0,6,6,0
24,4,9.0,7,7,0
24,5,7.0,9,9,0
24,6,73.0,1,1,4
24,7,17.0,5,5,0
24,9,21.0,4,4,0
24,11,8.0,8,8,0
24,10,0.0,10,10,0
24,8,0.0,11,11,0
25,1,58.0,3,3,2
25,2,74.0,2,2,1
25,3,15.0,6,6,0
25,4,12.0,7,7,0
25,5,7.0,9,9,0
25,6,91.0,1,1,5
25,7,23.0,5,5,0
25,9,24.0,4,4,0
25,11,8.0,8,8,0
25,10,0.0,10,10,0
25,8,0.0,11,11,0
26,1,72.0,3,3,3
26,2,82.0,2,2,1
26,3,16.0,6,6,0
26,4,15.0,7,7,0
26,5,7.0,9,9,0
26,6,96.0,1,1,5
26,7,25.0,4,4,0
26,9,24.0,5,5,0
26,11,14.0,8,8,0
26,10,0.0,10,10,0
26,8,0.0,11,11,0
27,1,86.0,3,3,4
27,2,89.0,2,2,1
27,3,16.0,7,7,0
27,4,23.0,6,6,0
27,5,8.0,9,9,0
27,6,105.0,1,1,5
27,7,25.0,4,4,0
27,9,24.0,5,5,0
27,11,14.0,8,8,0
27,10,0.0,10,10,0
27,8,0.0,11,11,0
28,1,100.0,2,2,5
28,2,90.0,3,3,1
28,3,16.0,7,7,0
28,4,31.0,5,5,0
28,5,8.0,9,9,0
28,6,111.0,1,1,5
28,7,35.0,4,4,0
28,9,24.0,6,6,0
28,11,14.0,8,8,0
28,10,0.0,10,10,0
28,8,0.0,11,11,0
29,1,113.0,2,2,5
29,2,96.0,3,3,1
29,3,17.0,7,7,0
29,4,31.0,5,5,0
29,5,11.0,9,9,0
29,6,121.0,1,1,6
29,7,41.0,4,4,0
29,9,24.0,6,6,0
29,11,14.0,8,8,0
29,10,0.0,10,10,0
29,8,0.0,11,11,0
30,1,119.0,2,2,5
30,2,107.0,3,3,1
30,3,17.0,7,7,0
30,4,36.0,5,5,0
30,5,17.0,8,8,0
30,6,131.0,1,1,7
30,7,41.0,4,4,0
30,9,25.0,6,6,0
30,11,14.0,9,9,0
30,10,0.0,10,10,0
30,8,0.0,11,11,0
31,1,129.0,2,2,5
31,2,117.0,3,3,1
31,3,17.0,8,8,0
31,4,41.0,5,5,0
31,5,27.0,6,6,1
31,6,134.0,1,1,7
31,7,41.0,4,4,0
31,9,26.0,7,7,0
31,11,14.0,9,9,0
31,10,0.0,10,10,0
31,8,0.0,11,11,0
32,1,135.0,1,1,5
32,2,120.0,3,3,1
32,3,26.0,8,8,0
32,4,51.0,4,4,1
32,5,31.0,6,6,1
32,6,134.0,2,2,7
32,7,46.0,5,5,0
32,9,28.0,7,7,0
32,11,14.0,9,9,0
32,10,0.0,10,10,0
32,8,0.0,11,11,0
33,1,135.0,2,2,5
33,2,128.0,3,3,1
33,3,26.0,8,8,0
33,4,66.0,4,4,2
33,5,34.0,6,6,1
33,6,142.0,1,1,7
33,7,50.0,5,5,0
33,9,29.0,7,7,0
33,11,14.0,9,9,0
33,10,0.0,10,10,0
33,8,0.0,11,11,0
34,8,0.0,11,11,0
