year,constructor_long,team
1950,Alfa Romeo Alfa Romeo,Alfa Romeo
1951,Alfa Romeo Alfa Romeo,Alfa Romeo
1994,Benetton Ford,Benetton
1995,Benetton Renault,Benetton
1983,Brabham BMW,Brabham
1981,Brabham Ford,Brabham
1966,Brabham Repco,Brabham
1967,Brabham Repco,Brabham
2009,Brawn Mercedes,Brawn
1962,BRM BRM,BRM
1959,Cooper Climax,Cooper
1960,Cooper Climax,Cooper
1952,Ferrari Ferrari,Ferrari
1953,Ferrari Ferrari,Ferrari
1956,Ferrari Ferrari,Ferrari
1958,Ferrari Ferrari,Ferrari
1961,Ferrari Ferrari,Ferrari
1964,Ferrari Ferrari,Ferrari
1975,Ferrari Ferrari,Ferrari
1977,Ferrari Ferrari,Ferrari
1979,Ferrari Ferrari,Ferrari
2000,Ferrari Ferrari,Ferrari
2001,Ferrari Ferrari,Ferrari
2002,Ferrari Ferrari,Ferrari
2003,Ferrari Ferrari,Ferrari
2004,Ferrari Ferrari,Ferrari
2007,Ferrari Ferrari,Ferrari
1963,Lotus Climax,Lotus
1965,Lotus Climax,Lotus
1968,Lotus Ford,Lotus
1970,Lotus Ford,Lotus
1972,Lotus Ford,Lotus
1978,Lotus Ford,Lotus
1957,Maserati Maserati,Maserati
1969,Matra Ford,Matra
1974,McLaren Ford,McLaren
1976,McLaren Ford,McLaren
1988,McLaren Honda,McLaren
1989,McLaren Honda,McLaren
1990,McLaren Honda,McLaren
1991,McLaren Honda,McLaren
1998,McLaren Mercedes,McLaren
1999,McLaren Mercedes,McLaren
2008,McLaren Mercedes,McLaren
1984,McLaren TAG,McLaren
1985,McLaren TAG,McLaren
1986,McLaren TAG,McLaren
1954,Mercedes Mercedes,Mercedes
1955,Mercedes Mercedes,Mercedes
2014,Mercedes Mercedes,Mercedes
2015,Mercedes Mercedes,Mercedes
2016,Mercedes Mercedes,Mercedes
2017,Mercedes Mercedes,Mercedes
2018,Mercedes Mercedes,Mercedes
2010,Red Bull Renault,Red Bull
2011,Red Bull Renault,Red Bull
2012,Red Bull Renault,Red Bull
2013,Red Bull Renault,Red Bull
2005,Renault Renault,Red Bull
2006,Renault Renault,Red Bull
1971,Tyrrell Ford,Tyrrell
1973,Tyrrell Ford,Tyrrell
1980,Williams Ford,Williams
1982,Williams Ford,Williams
1987,Williams Honda,Williams
1992,Williams Renault,Williams
1993,Williams Renault,Williams
1996,Williams Renault,Williams
1997,Williams Renault,Williams
