year,team,average_finishing_position
1950,Alfa Romeo,5.661111111111111
1951,Alfa Romeo,7.614285714285714
1952,Ferrari,12.526835317460316
1953,Ferrari,7.728125
1954,Mercedes,6.083333333333333
1955,Mercedes,7.0555555555555545
1956,Ferrari,8.753571428571428
1957,Maserati,10.099489795918368
1958,Ferrari,7.833333333333333
1959,Cooper,9.825892857142858
1960,Cooper,10.66335978835979
1961,Ferrari,8.908333333333333
1962,BRM,8.666666666666668
1963,Lotus,12.479285714285716
1964,Ferrari,7.95
1965,Lotus,11.643333333333334
1966,Brabham,9.514814814814816
1967,Brabham,6.340909090909091
1968,Lotus,9.583333333333334
1969,Matra,6.2272727272727275
1970,Lotus,12.093589743589742
1971,Tyrrell,7.742424242424243
1972,Lotus,12.138888888888888
1973,Tyrrell,6.922222222222222
1974,McLaren,9.411111111111113
1975,Ferrari,7.214285714285714
1976,McLaren,8.40625
1977,Ferrari,7.823529411764706
1978,Lotus,9.75
1979,Ferrari,5.2
1980,Williams,7.0
1981,Brabham,9.933333333333334
1982,Williams,8.166666666666666
1983,Brabham,10.933333333333334
1984,McLaren,7.270833333333333
1985,McLaren,8.71875
1986,McLaren,8.6875
1987,Williams,7.34375
1988,McLaren,3.71875
1989,McLaren,7.03125
1990,McLaren,7.3125
1991,McLaren,7.46875
1992,Williams,6.46875
1993,Williams,5.5
1994,Benetton,9.71875
1995,Benetton,6.676470588235294
1996,Williams,4.84375
1997,Williams,7.411764705882353
1998,McLaren,5.78125
1999,McLaren,7.78125
2000,Ferrari,5.794117647058823
2001,Ferrari,4.911764705882353
2002,Ferrari,4.147058823529412
2003,Ferrari,6.09375
2004,Ferrari,3.3333333333333335
2005,Red Bull,11.578947368421053
2006,Red Bull,13.277777777777779
2007,Ferrari,4.794117647058823
2008,McLaren,6.555555555555555
2010,Red Bull,6.052631578947368
2011,Red Bull,3.473684210526316
2012,Red Bull,6.475
2013,Red Bull,4.815789473684211
2014,Mercedes,4.2368421052631575
2015,Mercedes,3.210526315789474
2016,Mercedes,3.4761904761904763
2017,Mercedes,3.175
2018,Mercedes,3.857142857142857
