,year,constructor,podiums,podium_spots,podium_percentage
0,1950,Alfa Romeo,12,18,66.66666666666666
1,1951,Alfa Romeo,9,21,42.857142857142854
2,1952,Ferrari,17,22,77.27272727272727
3,1953,Ferrari,16,24,66.66666666666666
4,1954,Mercedes,7,17,41.17647058823529
5,1955,Mercedes,10,18,55.55555555555556
6,1956,Ferrari,10,21,47.61904761904761
7,1957,Maserati,10,21,47.61904761904761
8,1958,Ferrari,14,29,48.275862068965516
9,1959,Cooper,13,24,54.166666666666664
10,1960,Cooper,14,27,51.85185185185185
11,1961,Ferrari,14,21,66.66666666666666
12,1962,BRM,8,19,42.10526315789473
13,1963,Lotus,9,30,30.0
14,1964,Ferrari,10,22,45.45454545454545
15,1965,Lotus,7,30,23.333333333333332
16,1966,Brabham,9,24,37.5
17,1967,Brabham,14,31,45.16129032258064
18,1968,Lotus,9,34,26.47058823529412
19,1969,Matra,10,25,40.0
20,1970,Lotus,7,35,20.0
21,1971,Tyrrell,11,23,47.82608695652174
22,1972,Lotus,8,27,29.629629629629626
23,1973,Tyrrell,15,33,45.45454545454545
24,1974,McLaren,10,45,22.22222222222222
25,1975,Ferrari,11,28,39.285714285714285
26,1976,McLaren,10,32,31.25
27,1977,Ferrari,16,34,47.05882352941176
28,1978,Lotus,14,41,34.146341463414636
29,1979,Ferrari,13,30,43.333333333333336
30,1980,Williams,18,32,56.25
31,1981,Brabham,7,29,24.137931034482758
32,1982,Williams,7,30,23.333333333333332
33,1983,Brabham,10,30,33.33333333333333
34,1984,McLaren,18,32,56.25
35,1985,McLaren,12,32,37.5
36,1986,McLaren,12,32,37.5
37,1987,Williams,18,32,56.25
38,1988,McLaren,25,32,78.125
39,1989,McLaren,18,32,56.25
40,1990,McLaren,18,32,56.25
41,1991,McLaren,18,32,56.25
42,1992,Williams,21,32,65.625
43,1993,Williams,22,32,68.75
44,1994,Benetton,12,32,37.5
45,1995,Benetton,15,34,44.11764705882353
46,1996,Williams,21,32,65.625
47,1997,Williams,15,34,44.11764705882353
48,1998,McLaren,20,32,62.5
49,1999,McLaren,16,32,50.0
50,2000,Ferrari,21,34,61.76470588235294
51,2001,Ferrari,24,34,70.58823529411765
52,2002,Ferrari,27,34,79.41176470588235
53,2003,Ferrari,16,32,50.0
54,2004,Ferrari,29,36,80.55555555555556
55,2006,Red Bull,1,36,2.7777777777777777
56,2007,Ferrari,22,34,64.70588235294117
57,2008,McLaren,13,36,36.11111111111111
58,2010,Red Bull,20,38,52.63157894736842
59,2011,Red Bull,27,38,71.05263157894737
60,2012,Red Bull,14,40,35.0
61,2013,Red Bull,24,38,63.1578947368421
62,2014,Mercedes,31,38,81.57894736842105
63,2015,Mercedes,32,38,84.21052631578947
64,2016,Mercedes,33,42,78.57142857142857
65,2017,Mercedes,26,40,65.0
66,2018,Mercedes,25,42,59.523809523809526
