year,team,p_average
1950,Adams,27.0
1950,Alfa Romeo,5.661111111111111
1950,Alta,11.75
1950,Cooper,15.0
1950,Deidt,12.0
1950,ERA,12.388888888888891
1950,Ewing,17.0
1950,Ferrari,12.473333333333333
1950,Kurtis Kraft,15.8
1950,Langley,16.0
1950,Lesovsky,11.5
1950,Marchese,11.0
1950,Maserati,15.659863945578229
1950,Maserati Milano,18.0
1950,Moore,6.0
1950,Nichels,9.0
1950,Olson,23.0
1950,Rae,22.0
1950,SVA,23.0
1950,Simca Gordini,15.333333333333334
1950,Snowberger,26.0
1950,Stevens,12.0
1950,Talbot Lago,11.535416666666668
1950,Talbot-Darracq,32.0
1950,Watson,32.0
1950,Wetteroth,24.0
1951,Alfa Romeo,7.642857142857143
1951,Alta,15.0
1951,BRM,19.333333333333332
1951,Bromme,27.0
1951,Deidt,15.5
1951,EL,27.0
1951,ERA,9.5
1951,Ferrari,9.983843537414966
1951,HWM,12.5
1951,Hall,19.0
1951,Kurtis Kraft,14.235294117647058
1951,Kuzma,15.0
1951,Lesovsky,30.0
1951,Marchese,20.0
1951,Maserati,20.523809523809522
1951,Maserati Milano,21.0
1951,Moore,6.0
1951,OSCA,9.0
1951,Pawl,16.0
1951,Schroeder,14.5
1951,Sherman,4.0
1951,Simca Gordini,17.625
1951,Talbot Lago,18.278125
1951,Trevis,29.0
1951,Veritas,21.0
1951,Watson,33.0
1952,AFM,20.625
1952,Alta,14.0
1952,Aston,24.0
1952,BMW,19.8
1952,Bromme,22.0
1952,Connaught,12.722222222222223
1952,Cooper,10.172222222222222
1952,Deidt,24.0
1952,ERA,19.333333333333332
1952,Ferrari,12.63769841269841
1952,Frazer Nash,15.125
1952,Gordini,12.833333333333334
1952,HWM,14.605555555555554
1952,Kurtis Kraft,16.714285714285715
1952,Kuzma,1.0
1952,Lesovsky,14.333333333333334
1952,Maserati,18.058333333333334
1952,OSCA,24.0
1952,Sherman,15.0
1952,Simca Gordini,14.766666666666666
1952,Stevens,23.0
1952,Trevis,16.0
1952,Veritas,16.0
1952,Watson,12.0
