,year,constructor,wins,races,win_percentage
0,1950,Alfa Romeo,6,7,85.71428571428571
1,1951,Alfa Romeo,4,8,50.0
2,1952,Ferrari,7,8,87.5
3,1953,Ferrari,7,9,77.77777777777779
4,1954,Mercedes,4,9,44.44444444444444
5,1955,Mercedes,5,7,71.42857142857143
6,1956,Ferrari,5,8,62.5
7,1957,Maserati,4,8,50.0
8,1958,Ferrari,2,11,18.181818181818183
9,1959,Cooper,5,9,55.55555555555556
10,1960,Cooper,6,10,60.0
11,1961,Ferrari,5,8,62.5
12,1962,BRM,4,9,44.44444444444444
13,1963,Lotus,7,10,70.0
14,1964,Ferrari,3,10,30.0
15,1965,Lotus,6,10,60.0
16,1966,Brabham,4,9,44.44444444444444
17,1967,Brabham,4,11,36.36363636363637
18,1968,Lotus,5,12,41.66666666666667
19,1969,Matra,6,11,54.54545454545454
20,1970,Lotus,6,13,46.15384615384615
21,1971,Tyrrell,7,11,63.63636363636363
22,1972,Lotus,5,12,41.66666666666667
23,1973,Tyrrell,5,15,33.33333333333333
24,1974,McLaren,4,15,26.666666666666668
25,1975,Ferrari,6,14,42.857142857142854
26,1976,McLaren,6,16,37.5
27,1977,Ferrari,4,17,23.52941176470588
28,1978,Lotus,8,16,50.0
29,1979,Ferrari,6,15,40.0
30,1980,Williams,6,14,42.857142857142854
31,1981,Brabham,3,15,20.0
32,1982,Williams,1,16,6.25
33,1983,Brabham,4,15,26.666666666666668
34,1984,McLaren,12,16,75.0
35,1985,McLaren,6,16,37.5
36,1986,McLaren,4,16,25.0
37,1987,Williams,9,16,56.25
38,1988,McLaren,15,16,93.75
39,1989,McLaren,10,16,62.5
40,1990,McLaren,6,16,37.5
41,1991,McLaren,8,16,50.0
42,1992,Williams,10,16,62.5
43,1993,Williams,10,16,62.5
44,1994,Benetton,8,16,50.0
45,1995,Benetton,11,17,64.70588235294117
46,1996,Williams,12,16,75.0
47,1997,Williams,8,17,47.05882352941176
48,1998,McLaren,9,16,56.25
49,1999,McLaren,7,16,43.75
50,2000,Ferrari,10,17,58.82352941176471
51,2001,Ferrari,9,17,52.94117647058824
52,2002,Ferrari,15,17,88.23529411764706
53,2003,Ferrari,8,16,50.0
54,2004,Ferrari,15,18,83.33333333333334
55,2007,Ferrari,9,17,52.94117647058824
56,2008,McLaren,6,18,33.33333333333333
57,2010,Red Bull,9,19,47.368421052631575
58,2011,Red Bull,12,19,63.1578947368421
59,2012,Red Bull,7,20,35.0
60,2013,Red Bull,13,19,68.42105263157895
61,2014,Mercedes,16,19,84.21052631578947
62,2015,Mercedes,16,19,84.21052631578947
63,2016,Mercedes,19,21,90.47619047619048
64,2017,Mercedes,12,20,60.0
65,2018,Mercedes,11,21,52.38095238095239
