year,team,average_finish,std,var
1950,Alfa Romeo,5.661111111111111,3.167222173497827,10.031296296296299
1951,Alfa Romeo,7.614285714285714,3.9801292154185863,15.841428571428573
1952,Ferrari,12.526835317460316,7.6705438591722785,58.837243095485555
1953,Ferrari,7.728125,2.681311820969024,7.189433081268223
1954,Mercedes,6.083333333333333,1.2371562373263758,1.5305555555555557
1955,Mercedes,7.0555555555555545,4.784717182709812,22.893518518518523
1956,Ferrari,8.753571428571428,2.6823577295763497,7.195042989417989
1957,Maserati,10.099489795918368,3.466743241208427,12.018308700464312
1958,Ferrari,7.833333333333333,1.9400744544704693,3.763888888888889
1959,Cooper,9.825892857142858,2.229432027383439,4.970367164723032
1960,Cooper,10.66335978835979,2.3154591884687474,5.36135125346435
1961,Ferrari,8.908333333333333,6.888695593806348,47.454126984126994
1962,BRM,8.666666666666668,4.787860807407741,22.923611111111107
1963,Lotus,12.479285714285716,2.781081040457168,7.734411753590324
1964,Ferrari,7.95,4.5940447226360615,21.105246913580245
1965,Lotus,11.643333333333334,2.3973390598539113,5.747234567901235
1966,Brabham,9.514814814814816,4.624913245766259,21.389822530864194
1967,Brabham,6.340909090909091,2.794949449317899,7.811742424242425
1968,Lotus,9.583333333333334,3.3118626697727587,10.968434343434344
1969,Matra,6.2272727272727275,2.821812584603425,7.962626262626263
1970,Lotus,12.093589743589742,5.086699880031814,25.87451566951567
1971,Tyrrell,7.742424242424243,4.821458767475321,23.246464646464645
1972,Lotus,12.138888888888888,6.224679348900873,38.746632996633
1973,Tyrrell,6.922222222222222,6.670197477701421,44.491534391534394
1974,McLaren,9.411111111111113,4.47784079675218,20.051058201058197
1975,Ferrari,7.214285714285714,4.602316664606932,21.181318681318675
1976,McLaren,8.40625,5.562429774837612,30.940625
1977,Ferrari,7.823529411764706,4.996690080914153,24.966911764705884
1978,Lotus,9.75,6.690236113864687,44.75925925925927
1979,Ferrari,5.2,3.6732624658275026,13.492857142857146
1980,Williams,7.0,4.462569877831597,19.914529914529915
1981,Brabham,9.933333333333334,5.202563470700445,27.066666666666666
1982,Williams,8.166666666666666,3.643323966354011,13.273809523809524
1983,Brabham,10.933333333333334,4.275623040090459,18.280952380952378
1984,McLaren,7.270833333333333,5.1409305253686,26.429166666666667
1985,McLaren,8.71875,4.774825476740834,22.798958333333335
1986,McLaren,8.6875,5.406400527769532,29.229166666666668
1987,Williams,7.34375,6.163653543151172,37.990625
1988,McLaren,3.71875,3.768150518932774,14.198958333333334
1989,McLaren,7.03125,5.745922467280602,33.015625
1990,McLaren,7.3125,6.013526419664256,36.1625
1991,McLaren,7.46875,6.325790464439997,40.015625
1992,Williams,6.46875,6.1141059580830515,37.38229166666667
1993,Williams,5.5,3.4253953543107007,11.733333333333333
1994,Benetton,9.71875,5.570663485319021,31.032291666666666
1995,Benetton,6.676470588235294,4.6231116971911765,21.373161764705884
1996,Williams,4.84375,3.654762874204928,13.357291666666667
1997,Williams,7.411764705882353,4.511219673345167,20.35110294117647
1998,McLaren,5.78125,5.082547753505781,25.832291666666666
1999,McLaren,7.78125,4.362601479239958,19.032291666666666
2000,Ferrari,5.794117647058823,3.9806517349919117,15.845588235294116
2001,Ferrari,4.911764705882353,3.7259029699089687,13.882352941176475
2002,Ferrari,4.147058823529412,3.7573457465108975,14.117647058823533
2003,Ferrari,6.09375,4.424246640201395,19.573958333333334
2004,Ferrari,3.3333333333333335,2.5552713681145263,6.529411764705882
2005,Red Bull,11.578947368421053,4.388315159776068,19.25730994152046
2006,Red Bull,13.277777777777779,3.2998316455372216,10.88888888888889
2007,Ferrari,4.794117647058823,3.4508097941344316,11.908088235294118
2008,McLaren,6.555555555555555,3.6294906825034126,13.173202614379086
2010,Red Bull,6.052631578947368,5.206552327068549,27.108187134502927
2011,Red Bull,3.473684210526316,3.207948826355343,10.290935672514623
2012,Red Bull,6.475,4.8026171593150515,23.065131578947373
2013,Red Bull,4.815789473684211,3.757254192136524,14.116959064327485
2014,Mercedes,4.2368421052631575,3.931243869638858,15.454678362573102
2015,Mercedes,3.210526315789474,3.220230277625448,10.36988304093567
2016,Mercedes,3.4761904761904763,4.578417276953333,20.961904761904776
2017,Mercedes,3.175,1.7790816673068632,3.1651315789473684
2018,Mercedes,3.857142857142857,3.428348207019151,11.753571428571428
