year,team,podiums,podium_spots,podium_percentage
1950,Alfa Romeo,12,18,66.66666666666666
1951,Alfa Romeo,9,21,42.857142857142854
1952,Ferrari,17,22,77.27272727272727
1953,Ferrari,16,24,66.66666666666666
1954,Mercedes,7,17,41.17647058823529
1955,Mercedes,10,18,55.55555555555556
1956,Ferrari,10,21,47.61904761904761
1957,Maserati,10,21,47.61904761904761
1958,Ferrari,14,29,48.275862068965516
1959,Cooper,13,24,54.166666666666664
1960,Cooper,14,27,51.85185185185185
1961,Ferrari,14,21,66.66666666666666
1962,BRM,8,19,42.10526315789473
1963,Lotus,9,27,33.33333333333333
1964,Ferrari,10,22,45.45454545454545
1965,Lotus,7,23,30.434782608695656
1966,Brabham,9,16,56.25
1967,Brabham,14,27,51.85185185185185
1975,Ferrari,11,28,39.285714285714285
1977,Ferrari,16,34,47.05882352941176
1979,Ferrari,13,30,43.333333333333336
1983,Brabham,10,30,33.33333333333333
1987,Williams,18,32,56.25
1988,McLaren,25,32,78.125
1989,McLaren,18,32,56.25
1990,McLaren,18,32,56.25
1991,McLaren,18,32,56.25
1992,Williams,21,32,65.625
1993,Williams,22,32,68.75
1995,Benetton,15,34,44.11764705882353
1996,Williams,21,32,65.625
1997,Williams,15,34,44.11764705882353
1998,McLaren,20,32,62.5
1999,McLaren,16,32,50.0
2000,Ferrari,21,34,61.76470588235294
2001,Ferrari,24,34,70.58823529411765
2002,Ferrari,27,34,79.41176470588235
2003,Ferrari,16,32,50.0
2004,Ferrari,29,36,80.55555555555556
2005,Renault,18,36,50.0
2006,Renault,19,36,52.77777777777778
2007,Ferrari,22,34,64.70588235294117
2008,McLaren,13,36,36.11111111111111
2010,Red Bull,20,38,52.63157894736842
2011,Red Bull,27,38,71.05263157894737
2012,Red Bull,14,40,35.0
2013,Red Bull,24,38,63.1578947368421
2014,Mercedes,31,38,81.57894736842105
2015,Mercedes,32,38,84.21052631578947
2016,Mercedes,33,42,78.57142857142857
2017,Mercedes,26,40,65.0
2018,Mercedes,25,42,59.523809523809526
