year,constructor_clean,podiums,run,races,available_podium_spots,podium_percentage
1950,Alfa Romeo,12,1950 Alfa Romeo,7,18,0.6666666666666666
1951,Alfa Romeo,9,1951 Alfa Romeo,9,21,0.42857142857142855
1952,Ferrari,17,1952 Ferrari,8,22,0.7727272727272727
1953,Ferrari,16,1953 Ferrari,9,24,0.6666666666666666
1954,Mercedes,7,1954 Mercedes,9,17,0.4117647058823529
1955,Mercedes,10,1955 Mercedes,7,18,0.5555555555555556
1956,Ferrari,10,1956 Ferrari,9,21,0.47619047619047616
1957,Maserati,10,1957 Maserati,9,21,0.47619047619047616
1958,Ferrari,14,1958 Ferrari,11,29,0.4827586206896552
1959,Cooper,13,1959 Cooper,9,24,0.5416666666666666
1960,Cooper,14,1960 Cooper,10,27,0.5185185185185185
1961,Ferrari,14,1961 Ferrari,7,21,0.6666666666666666
1962,BRM,8,1962 BRM,9,19,0.42105263157894735
1963,Lotus,9,1963 Lotus,10,27,0.3333333333333333
1964,Ferrari,10,1964 Ferrari,10,22,0.45454545454545453
1965,Lotus,7,1965 Lotus,10,23,0.30434782608695654
1966,Brabham,9,1966 Brabham,9,17,0.5294117647058824
1967,Brabham,14,1967 Brabham,11,27,0.5185185185185185
1968,Lotus,9,1968 Lotus,12,33,0.2727272727272727
1969,Matra,10,1969 Matra,11,25,0.4
1970,Lotus,7,1970 Lotus,13,32,0.21875
1971,Tyrrell,11,1971 Tyrrell,11,23,0.4782608695652174
1972,Lotus,8,1972 Lotus,12,27,0.2962962962962963
1973,Tyrrell,15,1973 Tyrrell,14,30,0.5
1974,McLaren,10,1974 McLaren,15,45,0.2222222222222222
1975,Ferrari,11,1975 Ferrari,14,28,0.39285714285714285
1976,McLaren,10,1976 McLaren,16,32,0.3125
1977,Ferrari,16,1977 Ferrari,17,33,0.48484848484848486
1978,Lotus,14,1978 Lotus,16,41,0.34146341463414637
1979,Ferrari,13,1979 Ferrari,15,30,0.43333333333333335
1980,Williams,18,1980 Williams,14,34,0.5294117647058824
1981,Brabham,7,1981 Brabham,15,29,0.2413793103448276
1982,Williams,7,1982 Williams,16,30,0.23333333333333334
1983,Brabham,10,1983 Brabham,15,29,0.3448275862068966
1984,McLaren,18,1984 McLaren,16,32,0.5625
1985,McLaren,12,1985 McLaren,16,30,0.4
1986,McLaren,12,1986 McLaren,16,32,0.375
1987,Williams,18,1987 Williams,16,30,0.6
1988,McLaren,25,1988 McLaren,16,32,0.78125
1989,McLaren,18,1989 McLaren,16,29,0.6206896551724138
1990,McLaren,18,1990 McLaren,16,31,0.5806451612903226
1991,McLaren,18,1991 McLaren,16,32,0.5625
1992,Williams,21,1992 Williams,16,32,0.65625
1993,Williams,22,1993 Williams,16,32,0.6875
1994,Benetton,12,1994 Benetton,16,29,0.41379310344827586
1995,Benetton,15,1995 Benetton,17,34,0.4411764705882353
1996,Williams,21,1996 Williams,16,32,0.65625
1997,Williams,15,1997 Williams,17,33,0.45454545454545453
1998,McLaren,20,1998 McLaren,16,32,0.625
1999,McLaren,16,1999 McLaren,16,32,0.5
2000,Ferrari,21,2000 Ferrari,17,34,0.6176470588235294
2001,Ferrari,24,2001 Ferrari,17,34,0.7058823529411765
2002,Ferrari,27,2002 Ferrari,17,34,0.7941176470588235
2003,Ferrari,16,2003 Ferrari,16,32,0.5
2004,Ferrari,29,2004 Ferrari,18,36,0.8055555555555556
2005,Renault,18,2005 Renault,19,38,0.47368421052631576
2006,Renault,19,2006 Renault,18,36,0.5277777777777778
2007,Ferrari,22,2007 Ferrari,17,33,0.6666666666666666
2008,McLaren,13,2008 McLaren,18,36,0.3611111111111111
2009,Brawn GP,15,2009 Brawn GP,17,34,0.4411764705882353
2010,Red Bull,20,2010 Red Bull,19,38,0.5263157894736842
2011,Red Bull,27,2011 Red Bull,19,38,0.7105263157894737
2012,Red Bull,14,2012 Red Bull,20,40,0.35
2013,Red Bull,24,2013 Red Bull,19,38,0.631578947368421
2014,Mercedes,31,2014 Mercedes,19,38,0.8157894736842105
2015,Mercedes,32,2015 Mercedes,19,38,0.8421052631578947
2016,Mercedes,33,2016 Mercedes,21,42,0.7857142857142857
2017,Mercedes,26,2017 Mercedes,20,40,0.65
2018,Mercedes,25,2018 Mercedes,21,42,0.5952380952380952
