year,team,wins,races,win_percentage,podiums,podium_spots,podium_percentage,run_id
2015,Mercedes,16,19,84.21052632,32,38,84.21052632,Mercedes 2015
2014,Mercedes,16,19,84.21052632,31,38,81.57894737,Mercedes 2014
2004,Ferrari,15,18,83.33333333,29,36,80.55555556,Ferrari 2004
2002,Ferrari,15,17,88.23529412,27,34,79.41176471,Ferrari 2002
2016,Mercedes,19,21,90.47619048,33,42,78.57142857,Mercedes 2016
1988,McLaren,15,16,93.75,25,32,78.125,McLaren 1988
1952,Ferrari,7,8,87.5,17,22,77.27272727,Ferrari 1952
2011,Red Bull,12,19,63.15789474,27,38,71.05263158,Red Bull 2011
2001,Ferrari,9,17,52.94117647,24,34,70.58823529,Ferrari 2001
1993,Williams,10,16,62.5,22,32,68.75,Williams 1993
1950,Alfa Romeo,6,7,85.71428571,12,18,66.66666667,Alfa Romeo 1950
1953,Ferrari,7,9,77.77777778,16,24,66.66666667,Ferrari 1953
1961,Ferrari,5,8,62.5,14,21,66.66666667,Ferrari 1961
1992,Williams,10,16,62.5,21,32,65.625,Williams 1992
1996,Williams,12,16,75,21,32,65.625,Williams 1996
2017,Mercedes,12,20,60,26,40,65,Mercedes 2017
2007,Ferrari,9,17,52.94117647,22,34,64.70588235,Ferrari 2007
2013,Red Bull,13,19,68.42105263,24,38,63.15789474,Red Bull 2013
1998,McLaren,9,16,56.25,20,32,62.5,McLaren 1998
2000,Ferrari,10,17,58.82352941,21,34,61.76470588,Ferrari 2000
2018,Mercedes,11,21,52.38095238,25,42,59.52380952,Mercedes 2018
1980,Williams,6,14,42.85714286,18,32,56.25,Williams 1980
1984,McLaren,12,16,75,18,32,56.25,McLaren 1984
1987,Williams,9,16,56.25,18,32,56.25,Williams 1987
1989,McLaren,10,16,62.5,18,32,56.25,McLaren 1989
1990,McLaren,6,16,37.5,18,32,56.25,McLaren 1990
1991,McLaren,8,16,50,18,32,56.25,McLaren 1991
1955,Mercedes,5,7,71.42857143,10,18,55.55555556,Mercedes 1955
1959,Cooper,5,9,55.55555556,13,24,54.16666667,Cooper 1959
2010,Red Bull,9,19,47.36842105,20,38,52.63157895,Red Bull 2010
1960,Cooper,6,10,60,14,27,51.85185185,Cooper 1960
1999,McLaren,7,16,43.75,16,32,50,McLaren 1999
2003,Ferrari,8,16,50,16,32,50,Ferrari 2003
1958,Ferrari,2,11,18.18181818,14,29,48.27586207,Ferrari 1958
1971,Tyrrell,7,11,63.63636364,11,23,47.82608696,Tyrrell 1971
1956,Ferrari,5,8,62.5,10,21,47.61904762,Ferrari 1956
1957,Maserati,4,8,50,10,21,47.61904762,Maserati 1957
1977,Ferrari,4,17,23.52941176,16,34,47.05882353,Ferrari 1977
1964,Ferrari,3,10,30,10,22,45.45454545,Ferrari 1964
1973,Tyrrell,5,15,33.33333333,15,33,45.45454545,Tyrrell 1973
1967,Brabham,4,11,36.36363636,14,31,45.16129032,Brabham 1967
1995,Benetton,11,17,64.70588235,15,34,44.11764706,Benetton 1995
1997,Williams,8,17,47.05882353,15,34,44.11764706,Williams 1997
1979,Ferrari,6,15,40,13,30,43.33333333,Ferrari 1979
1951,Alfa Romeo,4,8,50,9,21,42.85714286,Alfa Romeo 1951
1962,BRM,4,9,44.44444444,8,19,42.10526316,BRM 1962
1954,Mercedes,4,9,44.44444444,7,17,41.17647059,Mercedes 1954
1969,Matra,6,11,54.54545455,10,25,40,Matra 1969
1975,Ferrari,6,14,42.85714286,11,28,39.28571429,Ferrari 1975
1966,Brabham,4,9,44.44444444,9,24,37.5,Brabham 1966
1985,McLaren,6,16,37.5,12,32,37.5,McLaren 1985
1986,McLaren,4,16,25,12,32,37.5,McLaren 1986
1994,Benetton,8,16,50,12,32,37.5,Benetton 1994
2008,McLaren,6,18,33.33333333,13,36,36.11111111,McLaren 2008
2012,Red Bull,7,20,35,14,40,35,Red Bull 2012
1978,Lotus,8,16,50,14,41,34.14634146,Lotus 1978
1983,Brabham,4,15,26.66666667,10,30,33.33333333,Brabham 1983
1976,McLaren,6,16,37.5,10,32,31.25,McLaren 1976
1963,Lotus,7,10,70,9,30,30,Lotus 1963
1972,Lotus,5,12,41.66666667,8,27,29.62962963,Lotus 1972
1968,Lotus,5,12,41.66666667,9,34,26.47058824,Lotus 1968
1981,Brabham,3,15,20,7,29,24.13793103,Brabham 1981
1965,Lotus,6,10,60,7,30,23.33333333,Lotus 1965
1982,Williams,1,16,6.25,7,30,23.33333333,Williams 1982
1974,McLaren,4,15,26.66666667,10,45,22.22222222,McLaren 1974
1970,Lotus,6,13,46.15384615,7,35,20,Lotus 1970
