year,constructor,wins
1950,Alfa Romeo,6
1951,Alfa Romeo,4
1952,Ferrari,7
1953,Ferrari,7
1954,Mercedes,4
1955,Mercedes,5
1956,Ferrari,5
1957,Maserati,4
1958,Ferrari,2
1959,Cooper,5
1960,Cooper,6
1961,Ferrari,5
1962,BRM,4
1963,Lotus,7
1964,Ferrari,3
1965,Lotus,6
1966,Brabham,4
1967,Brabham,4
1968,Lotus,5
1969,Matra,6
1970,Lotus,6
1971,Tyrrell,7
1972,Lotus,5
1973,Tyrrell,5
1974,McLaren,4
1975,Ferrari,6
1976,McLaren,6
1977,Ferrari,4
1978,Lotus,8
1979,Ferrari,6
1980,Williams,6
1981,Brabham,3
1982,Williams,1
1983,Brabham,4
1984,McLaren,12
1985,McLaren,6
1986,McLaren,4
1987,Williams,9
1988,McLaren,15
1989,McLaren,10
1990,McLaren,6
1991,McLaren,8
1992,Williams,10
1993,Williams,10
1994,Benetton,8
1995,Benetton,11
1996,Williams,12
1997,Williams,8
1998,McLaren,9
1999,McLaren,7
2000,Ferrari,10
2001,Ferrari,9
2002,Ferrari,15
2003,Ferrari,8
2004,Ferrari,15
2005,Renault,8
2006,Renault,8
2007,Ferrari,9
2008,McLaren,6
2009,Brawn,8
2010,Red Bull Racing,9
2011,Red Bull Racing,12
2012,Red Bull Racing,7
2013,Red Bull Racing,13
2014,Mercedes,16
2015,Mercedes,16
2016,Mercedes,19
2017,Mercedes,12
2018,Mercedes,11
