year,driver,constructor,car
1950,Giuseppe Farina,Alfa Romeo,Alfa Romeo 158
1951,Juan Manuel Fangio,Alfa Romeo,Alfa Romeo 159
1952,Alberto Ascari,Ferrari,Ferrari 500
1953,Alberto Ascari,Ferrari,Ferrari 501
1954,Juan Manuel Fangio,Maserati,Maserati 250F
1954,Juan Manuel Fangio,Mercedes-Benz,Mercedes-Benz W196
1955,Juan Manuel Fangio,Mercedes-Benz,Mercedes-Benz W196
1956,Juan Manuel Fangio,Ferrari,Lancia-Ferrari D50
1957,Juan Manuel Fangio,Maserati,Maserati 250F
1958,Mike Hawthorn,Ferrari,Ferrari Dino 246
1959,Jack Brabham,Cooper,Cooper T51
1960,Jack Brabham,Cooper,Cooper T53
1961,Phil Hill,Ferrari,Ferrari 156
1962,Graham Hill,BRM,BRM P57
1963,Jim Clark,Lotus,Lotus 25
1964,John Surtees,Ferrari,Ferrari 158
1965,Jim Clark,Lotus,Lotus 33
1966,Jack Brabham,Brabham,Brabham BT19
1967,Denny Hulme,Brabham,Brabham BT24
1967,Denny Hulme,Brabham,Brabham BT20
1968,Graham Hill,Lotus,Lotus 49
1969,Jackie Stewart,Matra,Matra MS80
1970,Jochen Rindt,Lotus,Lotus 72
1971,Jackie Stewart,Tyrrell,Tyrrell 003
1972,Emerson Fittipaldi,Lotus,Lotus 72D
1973,Jackie Stewart,Tyrrell,Tyrrell 006
1974,Emerson Fittipaldi,McLaren,McLaren M23
1975,Niki Lauda,Ferrari,Ferrari 312T
1976,James Hunt,McLaren,McLaren M23
1977,Niki Lauda,Ferrari,Ferrari 312T2
1978,Mario Andretti,Lotus,Lotus 79
1979,Jody Scheckter,Ferrari,Ferrari 312T4
1980,Alan Jones,Williams,Williams FW07B
1981,Nelson Piquet,Brabham,Brabham BT49C
1982,Keke Rosberg,Williams,Williams FW08
1983,Nelson Piquet,Brabham,Brabham BT52
1984,Niki Lauda,McLaren,McLaren MP4/2
1985,Alain Prost,McLaren,McLaren MP4/2
1986,Alain Prost,McLaren,McLaren MP4/2C
1987,Nelson Piquet,Williams,Williams FW11B
1988,Ayrton Senna,McLaren,McLaren MP4/4
1989,Alain Prost,McLaren,McLaren MP4/5
1990,Ayrton Senna,McLaren,McLaren MP4/5B
1991,Ayrton Senna,McLaren,McLaren MP4/6
1992,Nigel Mansell,Williams,Williams FW14B
1993,Alain Prost,Williams,Williams FW15C
1994,Michael Schumacher,Benetton,Benetton B194
1995,Michael Schumacher,Benetton,Benetton B195
1996,Damon Hill,Williams,Williams FW18
1997,Jacques Villeneuve,Williams,Williams FW19
1998,Mika Hakkinen,McLaren,Mclaren MP4/13
1999,Mika Hakkinen,McLaren,McLaren MP4/14
2000,Michael Schumacher,Ferrari,Ferrari F1-2000
2001,Michael Schumacher,Ferrari,Ferrari F2001
2002,Michael Schumacher,Ferrari,Ferrari F2002
2003,Michael Schumacher,Ferrari,Ferrari F2003-GA
2004,Michael Schumacher,Ferrari,Ferrari F2004
2005,Fernando Alonso,Renault,Renault R25
2006,Fernando Alonso,Renault,Renault R26
2007,Kimi Raikkonen,Ferrari,Ferrari F2007
2008,Lewis Hamilton,McLaren,McLaren MP4-23
2009,Jenson Button,Brawn GP,Brawn BGP 001
2010,Sebastian Vettel,Red Bull,Red Bull RB6
2011,Sebastian Vettel,Red Bull,Red Bull RB7
2012,Sebastian Vettel,Red Bull,Red Bull RB8
2013,Sebastian Vettel,Red Bull,Red Bull RB9
2014,Lewis Hamilton,Mercedes-Benz,Mercedes F1 W05 Hybrid
2015,Lewis Hamilton,Mercedes-Benz,Mercedes F1 W06 Hybrid
2016,Nico Rosberg,Mercedes-Benz,Mercedes F1 W07 Hybrid
2017,Lewis Hamilton,Mercedes-Benz,Mercedes F1 W08 EQ Power+
2018,Lewis Hamilton,Mercedes-Benz,Mercedes F1 W09 EQ Power+
