year,team,dominance %,rounds,races won,victories
1950,Alfa Romeo,0.8571428571428571,7,6,"['British Grand Prix', 'Monaco Grand Prix', 'Swiss Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'Italian Grand Prix']"
1951,Alfa Romeo,0.625,8,5,"['Swiss Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'French Grand Prix', 'Spanish Grand Prix']"
1952,Ferrari,0.875,8,7,"['Swiss Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Dutch Grand Prix', 'Italian Grand Prix']"
1953,Ferrari,0.7777777777777778,9,7,"['Argentine Grand Prix', 'Dutch Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Swiss Grand Prix']"
1954,Mercedes,0.4444444444444444,9,4,"['French Grand Prix', 'German Grand Prix', 'Swiss Grand Prix', 'Italian Grand Prix']"
1955,Mercedes,0.7142857142857143,7,5,"['Argentine Grand Prix', 'Belgian Grand Prix', 'Dutch Grand Prix', 'British Grand Prix', 'Italian Grand Prix']"
1956,Ferrari,0.75,8,6,"['Argentine Grand Prix', 'Argentine Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix']"
1957,Maserati,0.5,8,4,"['Argentine Grand Prix', 'Monaco Grand Prix', 'French Grand Prix', 'German Grand Prix']"
1958,Ferrari,0.18181818181818182,11,2,"['French Grand Prix', 'British Grand Prix']"
1959,Cooper-Climax,0.5555555555555556,9,5,"['Monaco Grand Prix', 'British Grand Prix', 'Portuguese Grand Prix', 'Italian Grand Prix', 'United States Grand Prix']"
1960,Cooper-Climax,0.6,10,6,"['Argentine Grand Prix', 'Dutch Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Portuguese Grand Prix']"
1961,Ferrari,0.625,8,5,"['Dutch Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Italian Grand Prix']"
1962,BRM,0.4444444444444444,9,4,"['Dutch Grand Prix', 'German Grand Prix', 'Italian Grand Prix', 'South African Grand Prix']"
1963,Lotus-Climax,0.7,10,7,"['Belgian Grand Prix', 'Dutch Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Italian Grand Prix', 'Mexican Grand Prix', 'South African Grand Prix']"
1964,Ferrari,0.3,10,3,"['German Grand Prix', 'Austrian Grand Prix', 'Italian Grand Prix']"
1965,Lotus-Climax,0.6,10,6,"['South African Grand Prix', 'Belgian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Dutch Grand Prix', 'German Grand Prix']"
1966,Brabham-Repco,0.4444444444444444,9,4,"['French Grand Prix', 'British Grand Prix', 'Dutch Grand Prix', 'German Grand Prix']"
1967,Brabham-Repco,0.36363636363636365,11,4,"['Monaco Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Canadian Grand Prix']"
1968,Lotus-Ford,0.4166666666666667,12,5,"['South African Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'Mexican Grand Prix']"
1969,Matra-Ford,0.5454545454545454,11,6,"['South African Grand Prix', 'Spanish Grand Prix', 'Dutch Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Italian Grand Prix']"
1970,Team Lotus,0.46153846153846156,13,6,"['Monaco Grand Prix', 'Dutch Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'United States Grand Prix']"
1971,Tyrrell,0.6363636363636364,11,7,"['Spanish Grand Prix', 'Monaco Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Canadian Grand Prix', 'United States Grand Prix']"
1972,Team Lotus,0.4166666666666667,12,5,"['Spanish Grand Prix', 'Belgian Grand Prix', 'British Grand Prix', 'Austrian Grand Prix', 'Italian Grand Prix']"
1973,Tyrrell,0.3333333333333333,15,5,"['South African Grand Prix', 'Belgian Grand Prix', 'Monaco Grand Prix', 'Dutch Grand Prix', 'German Grand Prix']"
1974,McLaren,0.26666666666666666,15,4,"['Argentine Grand Prix', 'Brazilian Grand Prix', 'Belgian Grand Prix', 'Canadian Grand Prix']"
1975,Ferrari,0.42857142857142855,14,6,"['Monaco Grand Prix', 'Belgian Grand Prix', 'Swedish Grand Prix', 'French Grand Prix', 'Italian Grand Prix', 'United States Grand Prix']"
1976,McLaren,0.375,16,6,"['Spanish Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Dutch Grand Prix', 'Canadian Grand Prix', 'United States Grand Prix']"
1977,Ferrari,0.23529411764705882,17,4,"['Brazilian Grand Prix', 'South African Grand Prix', 'German Grand Prix', 'Dutch Grand Prix']"
1978,Team Lotus,0.5,16,8,"['Argentine Grand Prix', 'South African Grand Prix', 'Belgian Grand Prix', 'Spanish Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Austrian Grand Prix', 'Dutch Grand Prix']"
1979,Ferrari,0.4,15,6,"['South African Grand Prix', 'United States Grand Prix West', 'Belgian Grand Prix', 'Monaco Grand Prix', 'Italian Grand Prix', 'United States Grand Prix']"
1980,Williams,0.42857142857142855,14,6,"['Argentine Grand Prix', 'Monaco Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Canadian Grand Prix', 'United States Grand Prix']"
1981,Brabham,0.2,15,3,"['Argentine Grand Prix', 'San Marino Grand Prix', 'German Grand Prix']"
1982,Williams,0.0625,16,1,['Swiss Grand Prix']
1983,Brabham,0.26666666666666666,15,4,"['Brazilian Grand Prix', 'Italian Grand Prix', 'European Grand Prix', 'South African Grand Prix']"
1984,McLaren,0.75,16,12,"['Brazilian Grand Prix', 'South African Grand Prix', 'San Marino Grand Prix', 'French Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Austrian Grand Prix', 'Dutch Grand Prix', 'Italian Grand Prix', 'European Grand Prix', 'Portuguese Grand Prix']"
1985,McLaren,0.375,16,6,"['Brazilian Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'Austrian Grand Prix', 'Dutch Grand Prix', 'Italian Grand Prix']"
1986,McLaren,0.25,16,4,"['San Marino Grand Prix', 'Monaco Grand Prix', 'Austrian Grand Prix', 'Australian Grand Prix']"
1987,Williams,0.5625,16,9,"['San Marino Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Austrian Grand Prix', 'Italian Grand Prix', 'Spanish Grand Prix', 'Mexican Grand Prix']"
