,raceId2,prixName,year,round,prixDate,constructorName,driverName,grid,positionText,positionOrder,points,status
11436,389,Brazilian Grand Prix,1984,1,1984-03-25,Toleman,Ayrton Senna,16,R,26,0.0,Turbo
6862,390,South African Grand Prix,1984,2,1984-04-07,Toleman,Ayrton Senna,13,6,6,1.0,+3 Laps
16813,391,Belgian Grand Prix,1984,3,1984-04-29,Toleman,Ayrton Senna,19,6,6,1.0,+2 Laps
23103,392,San Marino Grand Prix,1984,4,1984-05-06,Toleman,Ayrton Senna,0,F,28,0.0,Did not qualify
11352,393,French Grand Prix,1984,5,1984-05-20,Toleman,Ayrton Senna,13,R,19,0.0,Turbo
1007,394,Monaco Grand Prix,1984,6,1984-06-03,Toleman,Ayrton Senna,13,2,2,3.0,Finished
16733,395,Canadian Grand Prix,1984,7,1984-06-17,Toleman,Ayrton Senna,9,7,7,0.0,+2 Laps
15560,396,Detroit Grand Prix,1984,8,1984-06-24,Toleman,Ayrton Senna,7,R,19,0.0,Accident
6513,397,Dallas Grand Prix,1984,9,1984-07-08,Toleman,Ayrton Senna,6,R,14,0.0,Clutch
2750,398,British Grand Prix,1984,10,1984-07-22,Toleman,Ayrton Senna,7,3,3,4.0,Finished
15426,399,German Grand Prix,1984,11,1984-08-05,Toleman,Ayrton Senna,9,R,25,0.0,Accident
18549,400,Austrian Grand Prix,1984,12,1984-08-19,Toleman,Ayrton Senna,10,R,14,0.0,Oil pressure
13631,401,Dutch Grand Prix,1984,13,1984-08-26,Toleman,Ayrton Senna,13,R,23,0.0,Engine
15151,403,European Grand Prix,1984,15,1984-10-07,Toleman,Ayrton Senna,12,R,23,0.0,Accident
3528,404,Portuguese Grand Prix,1984,16,1984-10-21,Toleman,Ayrton Senna,3,3,3,4.0,Finished
18001,405,Brazilian Grand Prix,1985,1,1985-04-07,Team Lotus,Ayrton Senna,4,R,15,0.0,Electrical
3499,406,Portuguese Grand Prix,1985,2,1985-04-21,Team Lotus,Ayrton Senna,1,1,1,9.0,Finished
14371,407,San Marino Grand Prix,1985,3,1985-05-05,Team Lotus,Ayrton Senna,1,7,7,0.0,Out of fuel
12709,408,Monaco Grand Prix,1985,4,1985-05-19,Team Lotus,Ayrton Senna,1,R,16,0.0,Engine
18187,409,Canadian Grand Prix,1985,5,1985-06-16,Team Lotus,Ayrton Senna,2,16,16,0.0,+5 Laps
15546,410,Detroit Grand Prix,1985,6,1985-06-23,Team Lotus,Ayrton Senna,1,R,13,0.0,Accident
15384,411,French Grand Prix,1985,7,1985-07-07,Team Lotus,Ayrton Senna,2,R,18,0.0,Accident
18341,412,British Grand Prix,1985,8,1985-07-21,Team Lotus,Ayrton Senna,4,10,10,0.0,Fuel system
24212,413,German Grand Prix,1985,9,1985-08-04,Team Lotus,Ayrton Senna,5,R,17,0.0,CV joint
3041,414,Austrian Grand Prix,1985,10,1985-08-18,Team Lotus,Ayrton Senna,14,2,2,6.0,Finished
3182,415,Dutch Grand Prix,1985,11,1985-08-25,Team Lotus,Ayrton Senna,4,3,3,4.0,Finished
494,416,Italian Grand Prix,1985,12,1985-09-08,Team Lotus,Ayrton Senna,1,3,3,4.0,Finished
1190,417,Belgian Grand Prix,1985,13,1985-09-15,Team Lotus,Ayrton Senna,2,1,1,9.0,Finished
2717,418,European Grand Prix,1985,14,1985-10-06,Team Lotus,Ayrton Senna,1,2,2,6.0,Finished
