constructorResultsId,raceId,constructorId,points,status,raceId2
1,18,1,14.0,,786
2,18,2,8.0,,786
3,18,3,9.0,,786
4,18,4,5.0,,786
5,18,5,2.0,,786
6,18,6,1.0,,786
7,18,7,0.0,,786
8,18,8,0.0,,786
9,18,9,0.0,,786
10,18,10,0.0,,786
11,18,11,0.0,,786
12,19,6,10.0,,787
13,19,2,11.0,,787
14,19,1,10.0,,787
15,19,7,5.0,,787
16,19,9,2.0,,787
17,19,4,1.0,,787
18,19,11,0.0,,787
19,19,10,0.0,,787
20,19,3,0.0,,787
21,19,8,0.0,,787
22,19,5,0.0,,787
23,20,6,18.0,,788
24,20,2,11.0,,788
25,20,1,4.0,,788
26,20,7,3.0,,788
27,20,9,2.0,,788
28,20,3,1.0,,788
29,20,4,0.0,,788
30,20,11,0.0,,788
31,20,10,0.0,,788
32,20,5,0.0,,788
33,20,8,0.0,,788
34,21,6,18.0,,789
35,21,1,6.0,,789
36,21,2,5.0,,789
37,21,9,4.0,,789
38,21,11,3.0,,789
39,21,3,2.0,,789
40,21,7,1.0,,789
41,21,10,0.0,,789
42,21,8,0.0,,789
43,21,4,0.0,,789
44,21,5,0.0,,789
45,22,6,16.0,,790
46,22,1,8.0,,790
47,22,2,9.0,,790
48,22,4,3.0,,790
49,22,9,2.0,,790
50,22,3,1.0,,790
51,22,7,0.0,,790
52,22,11,0.0,,790
53,22,10,0.0,,790
54,22,5,0.0,,790
55,23,1,11.0,,791
56,23,2,8.0,,791
57,23,6,6.0,,791
58,23,9,5.0,,791
59,23,5,4.0,,791
60,23,11,3.0,,791
61,23,3,2.0,,791
62,23,4,0.0,,791
63,23,7,0.0,,791
64,23,10,0.0,,791
65,24,2,18.0,,792
66,24,9,6.0,,792
67,24,7,8.0,,792
68,24,6,4.0,,792
69,24,11,2.0,,792
70,24,5,1.0,,792
71,24,1,0.0,,792
72,24,3,0.0,,792
73,24,10,0.0,,792
74,24,4,0.0,,792
75,25,6,18.0,,793
76,25,7,6.0,,793
77,25,1,5.0,,793
78,25,2,4.0,,793
79,25,9,3.0,,793
80,25,4,3.0,,793
81,25,5,0.0,,793
82,25,11,0.0,,793
83,25,3,0.0,,793
84,25,10,0.0,,793
85,26,1,14.0,,794
86,26,2,8.0,,794
87,26,11,6.0,,794
88,26,6,5.0,,794
89,26,4,3.0,,794
90,26,7,2.0,,794
91,26,3,1.0,,794
92,26,9,0.0,,794
93,26,5,0.0,,794
94,26,10,0.0,,794
95,27,1,14.0,,795
96,27,4,8.0,,795
97,27,6,9.0,,795
98,27,2,7.0,,795
99,27,5,1.0,,795
100,27,7,0.0,,795
101,27,3,0.0,,795
102,27,9,0.0,,795
103,27,10,0.0,,795
104,27,11,0.0,,795
105,28,1,14.0,,796
106,28,7,10.0,,796
107,28,6,6.0,,796
108,28,4,8.0,,796
109,28,2,1.0,,796
110,28,9,0.0,,796
111,28,11,0.0,,796
112,28,3,0.0,,796
113,28,10,0.0,,796
114,28,5,0.0,,796
115,29,6,10.0,,797
116,29,1,13.0,,797
117,29,2,6.0,,797
118,29,7,6.0,,797
119,29,5,3.0,,797
120,29,3,1.0,,797
121,29,4,0.0,,797
122,29,9,0.0,,797
123,29,11,0.0,,797
124,29,10,0.0,,797
125,30,6,10.0,,798
126,30,2,11.0,,798
127,30,1,6.0,,798
128,30,4,5.0,,798
129,30,5,6.0,,798
130,30,9,1.0,,798
131,30,7,0.0,,798
132,30,3,0.0,,798
133,30,10,0.0,,798
134,30,11,0.0,,798
135,31,5,10.0,,799
136,31,1,10.0,,799
137,31,2,10.0,,799
138,31,4,5.0,,799
139,31,6,3.0,,799
140,31,9,1.0,,799
141,31,7,0.0,,799
142,31,3,0.0,,799
143,31,11,0.0,,799
144,31,10,0.0,,799
145,32,4,10.0,,800
146,32,3,9.0,,800
147,32,1,6.0,,800
148,32,7,5.0,,800
149,32,5,4.0,,800
150,32,2,3.0,,800
151,32,9,2.0,,800
152,32,11,0.0,,800
153,32,6,0.0,,800
154,32,10,0.0,,800
155,33,4,15.0,,801
156,33,2,8.0,,801
157,33,6,8.0,,801
158,33,7,4.0,,801
159,33,5,3.0,,801
160,33,9,1.0,,801
161,33,3,0.0,,801
162,33,1,0.0,,801
163,33,11,0.0,,801
164,33,10,0.0,,801
165,34,1,10.0,,802
166,34,6,14.0,,802
167,34,4,6.0,,802
168,34,2,7.0,,802
169,34,7,2.0,,802
170,34,5,0.0,,802
171,34,9,0.0,,802
172,34,11,0.0,,802
173,34,3,0.0,,802
174,34,10,0.0,,802
175,35,6,16.0,,803
176,35,4,8.0,,803
177,35,5,5.0,,803
178,35,1,6.0,,803
179,35,7,4.0,,803
180,35,9,0.0,,803
181,35,2,0.0,,803
182,35,3,0.0,,803
183,35,11,0.0,,803
184,35,10,0.0,,803
185,36,6,13.0,,769
186,36,1,14.0,D,769
187,36,2,5.0,,769
188,36,4,4.0,,769
189,36,3,2.0,,769
190,36,7,1.0,,769
191,36,11,0.0,,769
192,36,8,0.0,,769
193,36,9,0.0,,769
194,36,5,0.0,,769
195,36,12,0.0,,769
196,37,1,18.0,D,770
197,37,6,10.0,,770
198,37,2,5.0,,770
199,37,4,4.0,,770
200,37,7,2.0,,770
201,37,3,0.0,,770
202,37,9,0.0,,770
203,37,11,0.0,,770
204,37,8,0.0,,770
205,37,5,0.0,,770
206,37,12,0.0,,770
207,38,6,16.0,,771
208,38,1,12.0,D,771
209,38,2,8.0,,771
210,38,7,2.0,,771
211,38,4,1.0,,771
212,38,3,0.0,,771
213,38,11,0.0,,771
214,38,12,0.0,,771
215,38,8,0.0,,771
216,38,9,0.0,,771
217,38,5,0.0,,771
218,39,6,10.0,,772
219,39,1,14.0,D,772
220,39,2,5.0,,772
221,39,9,4.0,,772
222,39,3,3.0,,772
223,39,4,2.0,,772
224,39,8,1.0,,772
225,39,11,0.0,,772
226,39,12,0.0,,772
227,39,7,0.0,,772
228,39,5,0.0,,772
