year,round,race_date,race_name,race_url
1950,1,Great Britain,13 May 1950,/en/results.html/1950/races/94/great-britain/race-result.html
1950,2,Monaco,21 May 1950,/en/results.html/1950/races/95/monaco/race-result.html
1950,3,Indianapolis 500,30 May 1950,/en/results.html/1950/races/96/indianapolis-500/race-result.html
1950,4,Switzerland,04 Jun 1950,/en/results.html/1950/races/97/switzerland/race-result.html
1950,5,Belgium,18 Jun 1950,/en/results.html/1950/races/98/belgium/race-result.html
1950,6,France,02 Jul 1950,/en/results.html/1950/races/99/france/race-result.html
1950,7,Italy,03 Sep 1950,/en/results.html/1950/races/100/italy/race-result.html
1951,1,Switzerland,27 May 1951,/en/results.html/1951/races/101/switzerland/race-result.html
1951,2,Indianapolis 500,30 May 1951,/en/results.html/1951/races/102/indianapolis-500/race-result.html
1951,3,Belgium,17 Jun 1951,/en/results.html/1951/races/103/belgium/race-result.html
1951,4,France,01 Jul 1951,/en/results.html/1951/races/104/france/race-result.html
1951,6,Great Britain,14 Jul 1951,/en/results.html/1951/races/105/great-britain/race-result.html
1951,7,Germany,29 Jul 1951,/en/results.html/1951/races/106/germany/race-result.html
1951,8,Italy,16 Sep 1951,/en/results.html/1951/races/107/italy/race-result.html
1951,9,Spain,28 Oct 1951,/en/results.html/1951/races/108/spain/race-result.html
1952,1,Switzerland,18 May 1952,/en/results.html/1952/races/109/switzerland/race-result.html
1952,2,Indianapolis 500,30 May 1952,/en/results.html/1952/races/110/indianapolis-500/race-result.html
1952,3,Belgium,22 Jun 1952,/en/results.html/1952/races/111/belgium/race-result.html
1952,4,France,06 Jul 1952,/en/results.html/1952/races/112/france/race-result.html
1952,5,Great Britain,19 Jul 1952,/en/results.html/1952/races/113/great-britain/race-result.html
1952,6,Germany,03 Aug 1952,/en/results.html/1952/races/114/germany/race-result.html
1952,7,Netherlands,17 Aug 1952,/en/results.html/1952/races/115/netherlands/race-result.html
1952,8,Italy,07 Sep 1952,/en/results.html/1952/races/116/italy/race-result.html
1953,1,Argentina,18 Jan 1953,/en/results.html/1953/races/117/argentina/race-result.html
1953,2,Indianapolis 500,30 May 1953,/en/results.html/1953/races/118/indianapolis-500/race-result.html
1953,3,Netherlands,07 Jun 1953,/en/results.html/1953/races/119/netherlands/race-result.html
1953,4,Belgium,21 Jun 1953,/en/results.html/1953/races/120/belgium/race-result.html
1953,5,France,05 Jul 1953,/en/results.html/1953/races/121/france/race-result.html
1953,6,Great Britain,18 Jul 1953,/en/results.html/1953/races/122/great-britain/race-result.html
1953,7,Germany,02 Aug 1953,/en/results.html/1953/races/123/germany/race-result.html
1953,8,Switzerland,23 Aug 1953,/en/results.html/1953/races/124/switzerland/race-result.html
1953,9,Italy,13 Sep 1953,/en/results.html/1953/races/125/italy/race-result.html
1954,1,Argentina,17 Jan 1954,/en/results.html/1954/races/126/argentina/race-result.html
1954,2,Indianapolis 500,31 May 1954,/en/results.html/1954/races/127/indianapolis-500/race-result.html
1954,3,Belgium,20 Jun 1954,/en/results.html/1954/races/128/belgium/race-result.html
1954,4,France,04 Jul 1954,/en/results.html/1954/races/129/france/race-result.html
1954,5,Great Britain,17 Jul 1954,/en/results.html/1954/races/130/great-britain/race-result.html
1954,6,Germany,01 Aug 1954,/en/results.html/1954/races/131/germany/race-result.html
1954,7,Switzerland,22 Aug 1954,/en/results.html/1954/races/132/switzerland/race-result.html
1954,8,Italy,05 Sep 1954,/en/results.html/1954/races/133/italy/race-result.html
1954,9,Spain,24 Oct 1954,/en/results.html/1954/races/134/spain/race-result.html
1955,1,Argentina,16 Jan 1955,/en/results.html/1955/races/135/argentina/race-result.html
