Row Labels,Count of constructor_clean
1950,27
Adams,1
Alfa Romeo,1
Alta,1
Cooper,1
Deidt,1
ERA,1
Ewing,1
Ferrari,2
Kurtis Kraft,2
Langley,1
Lesovsky,1
Marchese,1
Maserati,2
Maserati Milano,1
Moore,1
Nichels,1
Olson,1
Rae,1
Simca-Gordini,1
Snowberger,1
Stevens,1
Talbot-Lago,1
Watson,1
Wetteroth,1
1951,29
Alfa Romeo,1
Alta,1
BRM,1
Bromme,1
Deidt,1
ERA,1
Ferrari,2
Hall,1
HWM,1
Kurtis Kraft,2
Kuzma,1
Lesovsky,1
Marchese,1
Maserati,3
Maserati Milano,1
Moore,1
OSCA,1
Pawl,1
Schroeder,1
Sherman,1
Simca-Gordini,1
Talbot-Lago,1
Trevis,1
Veritas,1
Watson,1
1952,29
AFM,2
Alta,1
Aston,1
BMW,1
Bromme,1
Connaught,1
Cooper,1
Deidt,1
ERA,1
Ferrari,1
Frazer Nash,2
Gordini,1
HWM,1
Kurtis Kraft,3
Kuzma,1
Lesovsky,1
Maserati,2
OSCA,1
Sherman,1
Simca-Gordini,1
Stevens,1
Trevis,1
Veritas,1
Watson,1
1953,24
AFM,2
BMW,1
Bromme,1
Connaught,1
Cooper,2
Del Roy,1
EMW,1
Ferrari,1
Gordini,1
HWM,1
Kurtis Kraft,2
Kuzma,1
Lesovsky,1
Maserati,1
OSCA,1
Schroeder,1
Simca-Gordini,1
Stevens,1
Turner,1
Veritas,1
Watson,1
1954,20
Bromme,1
Connaught,1
Cooper,2
Ferrari,1
Gordini,1
HWM,1
Klenk,1
Kurtis Kraft,1
Kuzma,1
Lancia,1
Maserati,1
Mercedes,1
Nichels,1
Pankratz,1
Pawl,1
Phillips,1
Schroeder,1
Stevens,1
Vanwall,1
1955,17
Connaught,1
Cooper,1
Epperly,1
Ferrari,1
Gordini,1
Kurtis Kraft,1
Kuzma,1
Lancia,1
Maserati,1
Mercedes,1
Pankratz,1
Pawl,1
Phillips,1
Schroeder,1
Stevens,1
Trevis,1
Vanwall,1
1956,16
BRM,1
Bugatti,1
Connaught,1
Cooper,1
Emeryson,1
Ferrari,1
Gordini,1
Kurtis Kraft,2
Kuzma,1
Lesovsky,1
Maserati,1
Phillips,1
Stevens,1
Vanwall,1
Watson,1
1957,16
BRM,1
Connaught,1
Cooper,2
Dunn,1
Epperly,1
Ferrari,1
Kurtis Kraft,2
Kuzma,1
Lesovsky,1
Maserati,1
Phillips,1
Porsche,1
Vanwall,1
Watson,1
1958,16
BRM,1
Connaught,1
Cooper,1
Dunn,1
Epperly,1
Ferrari,1
Kurtis Kraft,2
Kuzma,1
Lesovsky,1
Lotus,1
Maserati,1
Phillips,1
Porsche,1
Vanwall,1
Watson,1
1959,25
Aston,1
BRM,1
Christensen,1
Connaught,1
Cooper,4
Dunn,1
Elder,1
Epperly,1
Ferrari,1
JBW,1
Kurtis Kraft,1
Kuzma,1
Lesovsky,1
Lotus,1
Maserati,1
Moore,1
Phillips,1
Porsche,1
Sutton,1
Tec-Mec,1
Vanwall,1
Watson,1
1960,23
Aston,1
Behra-Porsche,1
BRM,1
Christensen,1
Cooper,3
Epperly,1
Ewing,1
Ferrari,1
JBW,1
Kurtis Kraft,1
Kuzma,1
Lesovsky,1
Lotus,1
Maserati,1
Meskowski,1
Phillips,1
Porsche,1
Scarab,1
Trevis,1
Vanwall,1
Watson,1
1961,12
BRM,1
Cooper,2
De Tomaso,2
Ferguson,1
Ferrari,1
Gilby,1
JBW,1
Lotus,2
Porsche,1
1962,13
Brabham,1
