year,constructor_clean,wins,races,win_percentage
1950,Alfa Romeo,6,7,0.8571428571428571
1951,Alfa Romeo,5,9,0.5555555555555556
1952,Ferrari,7,8,0.875
1953,Ferrari,7,8,0.875
1954,Mercedes,4,8,0.5
1955,Mercedes,5,7,0.7142857142857143
1956,Ferrari,6,8,0.75
1957,Maserati,4,7,0.5714285714285714
1958,Ferrari,2,7,0.2857142857142857
1959,Cooper,5,9,0.5555555555555556
1960,Cooper,6,8,0.75
1961,Ferrari,5,7,0.7142857142857143
1962,BRM,4,9,0.4444444444444444
1963,Lotus,7,10,0.7
1964,Ferrari,3,8,0.375
1965,Lotus,6,7,0.8571428571428571
1966,Brabham,4,6,0.6666666666666666
1967,Brabham,4,8,0.5
1968,Lotus,5,12,0.4166666666666667
1969,Matra,6,8,0.75
1970,Lotus,6,12,0.5
1971,Tyrrell,7,11,0.6363636363636364
1972,Lotus,5,10,0.5
1973,Tyrrell,5,11,0.45454545454545453
1974,McLaren,4,14,0.2857142857142857
1975,Ferrari,6,14,0.42857142857142855
1976,McLaren,6,15,0.4
1977,Ferrari,4,13,0.3076923076923077
1978,Lotus,8,13,0.6153846153846154
1979,Ferrari,6,15,0.4
1980,Williams,6,14,0.42857142857142855
1981,Brabham,3,10,0.3
1982,Williams,1,14,0.07142857142857142
1983,Brabham,4,15,0.26666666666666666
1984,McLaren,12,16,0.75
1985,McLaren,6,12,0.5
1986,McLaren,4,16,0.25
1987,Williams,9,14,0.6428571428571429
1988,McLaren,15,16,0.9375
1989,McLaren,10,14,0.7142857142857143
1990,McLaren,6,12,0.5
1991,McLaren,8,16,0.5
1992,Williams,10,15,0.6666666666666666
1993,Williams,10,13,0.7692307692307693
1994,Benetton,8,14,0.5714285714285714
1995,Benetton,11,16,0.6875
1996,Williams,12,16,0.75
1997,Williams,8,15,0.5333333333333333
1998,McLaren,9,16,0.5625
1999,McLaren,7,16,0.4375
2000,Ferrari,10,17,0.5882352941176471
2001,Ferrari,9,17,0.5294117647058824
2002,Ferrari,15,17,0.8823529411764706
2003,Ferrari,8,16,0.5
2004,Ferrari,15,17,0.8823529411764706
2005,Renault,8,19,0.42105263157894735
2006,Renault,8,17,0.47058823529411764
2007,Ferrari,9,17,0.5294117647058824
2008,McLaren,6,17,0.35294117647058826
2009,Brawn,8,13,0.6153846153846154
2010,Red Bull Racing,9,19,0.47368421052631576
2011,Red Bull Racing,12,19,0.631578947368421
2012,Red Bull Racing,7,17,0.4117647058823529
2013,Red Bull Racing,13,19,0.6842105263157895
2014,Mercedes,16,19,0.8421052631578947
2015,Mercedes,16,19,0.8421052631578947
2016,Mercedes,19,21,0.9047619047619048
2017,Mercedes,12,20,0.6
2018,Mercedes,11,21,0.5238095238095238
