year,constructor,wins
1950,Alfa Romeo,6.0
1951,Alfa Romeo,4.0
1952,Ferrari,7.0
1953,Ferrari,7.0
1954,Mercedes,4.0
1955,Mercedes,5.0
1956,Ferrari,5.0
1957,Maserati,4.0
1958,Ferrari,2.0
1959,Cooper-Climax,5.0
1960,Cooper-Climax,6.0
1961,Ferrari,5.0
1962,BRM,4.0
1963,Lotus-Climax,7.0
1964,Ferrari,3.0
1965,Lotus-Climax,6.0
1966,Brabham-Repco,4.0
1967,Brabham-Repco,4.0
1968,Lotus-Ford,5.0
1969,Matra-Ford,6.0
1970,Team Lotus,6.0
1971,Tyrrell,7.0
1972,Team Lotus,5.0
1973,Tyrrell,5.0
1974,McLaren,4.0
1975,Ferrari,6.0
1976,McLaren,6.0
1977,Ferrari,4.0
1978,Team Lotus,8.0
1979,Ferrari,6.0
1980,Williams,6.0
1981,Brabham,3.0
1982,Williams,1.0
1983,Brabham,4.0
1984,McLaren,12.0
1985,McLaren,6.0
1986,McLaren,4.0
1987,Williams,9.0
1988,McLaren,15.0
1989,McLaren,10.0
1990,McLaren,6.0
1991,McLaren,8.0
1992,Williams,10.0
1993,Williams,10.0
1994,Benetton,8.0
1995,Benetton,11.0
1996,Williams,12.0
1997,Williams,8.0
1998,McLaren,9.0
1999,McLaren,7.0
2000,Ferrari,10.0
2001,Ferrari,9.0
2002,Ferrari,15.0
2003,Ferrari,8.0
2004,Ferrari,15.0
2005,Renault,8.0
2006,Renault,8.0
2007,Ferrari,9.0
2008,McLaren,6.0
2009,Brawn,8.0
2010,Red Bull,9.0
2011,Red Bull,12.0
2012,Red Bull,7.0
2013,Red Bull,13.0
2014,Mercedes,16.0
2015,Mercedes,16.0
2016,Mercedes,19.0
2017,Mercedes,12.0
2018,Mercedes,11.0
