year,constructorName,round,positionOrder
2019,Alfa Romeo,1,11.5
2019,Alfa Romeo,2,9.0
2019,Alfa Romeo,3,12.0
2019,Alfa Romeo,4,11.0
2019,Ferrari,1,4.5
2019,Ferrari,2,4.0
2019,Ferrari,3,4.0
2019,Ferrari,4,4.0
2019,Haas F1 Team,1,12.0
2019,Haas F1 Team,2,16.5
2019,Haas F1 Team,3,12.0
2019,Haas F1 Team,4,15.5
2019,McLaren,1,16.0
2019,McLaren,2,12.5
2019,McLaren,3,16.0
2019,McLaren,4,7.5
2019,Mercedes,1,1.5
2019,Mercedes,2,1.5
2019,Mercedes,3,1.5
2019,Mercedes,4,1.5
2019,Racing Point,1,11.0
2019,Racing Point,2,12.0
2019,Racing Point,3,10.0
2019,Racing Point,4,7.5
2019,Red Bull,1,7.0
2019,Red Bull,2,6.0
2019,Red Bull,3,5.0
2019,Red Bull,4,10.5
2019,Renault,1,13.0
2019,Renault,2,17.5
2019,Renault,3,13.5
2019,Renault,4,17.0
2019,Toro Rosso,1,12.0
2019,Toro Rosso,2,10.5
2019,Toro Rosso,3,14.5
2019,Toro Rosso,4,15.0
2019,Williams,1,16.5
2019,Williams,2,15.5
2019,Williams,3,16.5
2019,Williams,4,15.5
