year,constructor,constructor_clean
1950,Alfa Romeo,Alfa Romeo
1951,Alfa Romeo,Alfa Romeo
1952,Ferrari,Ferrari
1953,Ferrari,Ferrari
1954,Mercedes-Benz,Mercedes
1955,Mercedes-Benz,Mercedes
1956,Ferrari,Ferrari
1957,Maserati,Maserati
1958,Ferrari,Ferrari
1959,Cooper Climax,Cooper
1960,Cooper Climax,Cooper
1961,Ferrari,Ferrari
1962,BRM,BRM
1963,Lotus Climax,Lotus
1964,Ferrari,Ferrari
1965,Lotus Climax,Lotus
1966,Brabham Repco,Brabham
1967,Brabham Repco,Brabham
1968,Lotus Ford,Lotus
1969,Matra Ford,Matra
1970,Lotus Ford,Lotus
1971,Tyrrell Ford,Tyrrell
1972,Lotus Ford,Lotus
1973,Tyrrell Ford,Tyrell
1974,McLaren Ford,McLaren
1975,Ferrari,Ferrari
1976,McLaren Ford,McLaren
1977,Ferrari,Ferrari
1978,Lotus Ford,Lotus
1979,Ferrari,Ferrari
1980,Williams Ford,Williams
1981,Brabham Ford,Brabham
1982,Williams Ford,Williams
1983,Brabham BMW,Brabham
1984,McLaren TAG,McLaren
1985,McLaren TAG,McLaren
1986,McLaren TAG,McLaren
1987,Williams Honda,Williams
1988,McLaren Honda,McLaren
1989,McLaren Honda,McLaren
1990,McLaren Honda,McLaren
1991,McLaren Honda,McLaren
1992,Williams Renault,Williams
1993,Williams Renault,Williams
1994,Benetton Ford,Benetton
1995,Benetton Renault,Benetton
1996,Williams Renault,Williams
1997,Williams Renault,Williams
1998,McLaren Mercedes,McLaren
1999,McLaren Mercedes,McLaren
2000,Ferrari,Ferrari
2001,Ferrari,Ferrari
2002,Ferrari,Ferrari
2003,Ferrari,Ferrari
2004,Ferrari,Ferrari
2005,Renault,Renault
2006,Renault,Renault
2007,Ferrari,Ferrari
2008,McLaren Mercedes,McLaren
2009,Brawn Mercedes,Brawn
2010,RBR Renault,Red Bull Racing
2011,Red Bull Racing Renault,Red Bull Racing
2012,Red Bull Racing Renault,Red Bull Racing
2013,Red Bull Racing Renault,Red Bull Racing
2014,Mercedes,Mercedes
2015,Mercedes,Mercedes
2016,Mercedes,Mercedes
2017,Mercedes,Mercedes
2018,Mercedes,Mercedes
2019,Mercedes,Mercedes
