year,date,prix,winner,constructor,raceUrl
1950,13 May 1950,Great Britain,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/94/great-britain/race-result.html
1950,21 May 1950,Monaco,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/95/monaco/race-result.html
1950,30 May 1950,Indianapolis 500,"Johnnie 
Parsons
PAR",Kurtis Kraft Offenhauser,/en/results.html/1950/races/96/indianapolis-500/race-result.html
1950,04 Jun 1950,Switzerland,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/97/switzerland/race-result.html
1950,18 Jun 1950,Belgium,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/98/belgium/race-result.html
1950,02 Jul 1950,France,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/99/france/race-result.html
1950,03 Sep 1950,Italy,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/100/italy/race-result.html
1951,27 May 1951,Switzerland,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/101/switzerland/race-result.html
1951,30 May 1951,Indianapolis 500,"Lee
Wallard
WAL",Kurtis Kraft Offenhauser,/en/results.html/1951/races/102/indianapolis-500/race-result.html
1951,17 Jun 1951,Belgium,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1951/races/103/belgium/race-result.html
1951,01 Jul 1951,France,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/104/france/race-result.html
1951,01 Jul 1951,France,"Luigi
Fagioli
FAG",Alfa Romeo,/en/results.html/1951/races/104/france/race-result.html
1951,14 Jul 1951,Great Britain,"Jose Froilan
Gonzalez
GON",Ferrari,/en/results.html/1951/races/105/great-britain/race-result.html
1951,29 Jul 1951,Germany,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1951/races/106/germany/race-result.html
1951,16 Sep 1951,Italy,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1951/races/107/italy/race-result.html
1951,28 Oct 1951,Spain,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/108/spain/race-result.html
1952,18 May 1952,Switzerland,"Piero 
Taruffi
TAR",Ferrari,/en/results.html/1952/races/109/switzerland/race-result.html
1952,30 May 1952,Indianapolis 500,"Troy
Ruttman
RUT",Kuzma Offenhauser,/en/results.html/1952/races/110/indianapolis-500/race-result.html
1952,22 Jun 1952,Belgium,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/111/belgium/race-result.html
1952,06 Jul 1952,France,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/112/france/race-result.html
1952,19 Jul 1952,Great Britain,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/113/great-britain/race-result.html
1952,03 Aug 1952,Germany,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/114/germany/race-result.html
1952,17 Aug 1952,Netherlands,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/115/netherlands/race-result.html
1952,07 Sep 1952,Italy,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/116/italy/race-result.html
1953,18 Jan 1953,Argentina,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/117/argentina/race-result.html
1953,30 May 1953,Indianapolis 500,"Bill 
Vukovich 
VUK",Kurtis Kraft Offenhauser,/en/results.html/1953/races/118/indianapolis-500/race-result.html
1953,07 Jun 1953,Netherlands,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/119/netherlands/race-result.html
1953,21 Jun 1953,Belgium,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/120/belgium/race-result.html
1953,05 Jul 1953,France,"Mike
Hawthorn
HAW",Ferrari,/en/results.html/1953/races/121/france/race-result.html
1953,18 Jul 1953,Great Britain,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/122/great-britain/race-result.html
1953,02 Aug 1953,Germany,"Nino
Farina
FAR",Ferrari,/en/results.html/1953/races/123/germany/race-result.html
1953,23 Aug 1953,Switzerland,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/124/switzerland/race-result.html
1953,13 Sep 1953,Italy,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1953/races/125/italy/race-result.html
1954,17 Jan 1954,Argentina,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1954/races/126/argentina/race-result.html
1954,31 May 1954,Indianapolis 500,"Bill 
Vukovich 
VUK",Kurtis Kraft Offenhauser,/en/results.html/1954/races/127/indianapolis-500/race-result.html
1954,20 Jun 1954,Belgium,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1954/races/128/belgium/race-result.html
1954,04 Jul 1954,France,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/129/france/race-result.html
1954,17 Jul 1954,Great Britain,"Jose Froilan
Gonzalez
GON",Ferrari,/en/results.html/1954/races/130/great-britain/race-result.html
1954,01 Aug 1954,Germany,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/131/germany/race-result.html
1954,22 Aug 1954,Switzerland,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/132/switzerland/race-result.html
1954,05 Sep 1954,Italy,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/133/italy/race-result.html
1954,24 Oct 1954,Spain,"Mike
Hawthorn
HAW",Ferrari,/en/results.html/1954/races/134/spain/race-result.html
1955,16 Jan 1955,Argentina,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/135/argentina/race-result.html
1955,22 May 1955,Monaco,"Maurice 
Trintignant
TRI",Ferrari,/en/results.html/1955/races/136/monaco/race-result.html
1955,30 May 1955,Indianapolis 500,"Bob
Sweikert
SWE",Kurtis Kraft Offenhauser,/en/results.html/1955/races/137/indianapolis-500/race-result.html
1955,05 Jun 1955,Belgium,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/138/belgium/race-result.html
1955,19 Jun 1955,Netherlands,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/139/netherlands/race-result.html
1955,16 Jul 1955,Great Britain,"Stirling
Moss
MOS",Mercedes-Benz,/en/results.html/1955/races/140/great-britain/race-result.html
1955,11 Sep 1955,Italy,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/141/italy/race-result.html
1956,22 Jan 1956,Argentina,"Luigi
Musso
MUS",Ferrari,/en/results.html/1956/races/142/argentina/race-result.html
1956,22 Jan 1956,Argentina,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/142/argentina/race-result.html
1956,13 May 1956,Monaco,"Stirling
Moss
MOS",Maserati,/en/results.html/1956/races/143/monaco/race-result.html
1956,30 May 1956,Indianapolis 500,"Pat
Flaherty
FLA",Watson Offenhauser,/en/results.html/1956/races/144/indianapolis-500/race-result.html
1956,03 Jun 1956,Belgium,"Peter
Collins
COL",Ferrari,/en/results.html/1956/races/145/belgium/race-result.html
1956,01 Jul 1956,France,"Peter
Collins
COL",Ferrari,/en/results.html/1956/races/146/france/race-result.html
1956,14 Jul 1956,Great Britain,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/147/great-britain/race-result.html
1956,05 Aug 1956,Germany,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/148/germany/race-result.html
1956,02 Sep 1956,Italy,"Stirling
Moss
MOS",Maserati,/en/results.html/1956/races/149/italy/race-result.html
1957,13 Jan 1957,Argentina,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/150/argentina/race-result.html
1957,19 May 1957,Monaco,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/151/monaco/race-result.html
1957,30 May 1957,Indianapolis 500,"Sam
Hanks
HAN",Epperly Offenhauser,/en/results.html/1957/races/152/indianapolis-500/race-result.html
1957,07 Jul 1957,France,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/153/france/race-result.html
1957,20 Jul 1957,Great Britain,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/154/great-britain/race-result.html
1957,20 Jul 1957,Great Britain,"Tony
Brooks
BRO",Vanwall,/en/results.html/1957/races/154/great-britain/race-result.html
1957,04 Aug 1957,Germany,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/155/germany/race-result.html
1957,18 Aug 1957,Pescara,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/156/pescara/race-result.html
1957,08 Sep 1957,Italy,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/157/italy/race-result.html
1958,19 Jan 1958,Argentina,"Stirling
Moss
MOS",Cooper Climax,/en/results.html/1958/races/158/argentina/race-result.html
