raceId,year,raceRound,date,prix,driverFirstName,driverLastName,driverCode,constructor,finishingPosition,positionOrder,laps,time,points
1,1950,1,13 May 1950,Great Britain,Nino,Farina,FAR,Alfa Romeo,1,1,70,2:13:23.600,9
1,1950,1,13 May 1950,Great Britain,Luigi,Fagioli,FAG,Alfa Romeo,2,2,70,+2.600s,6
1,1950,1,13 May 1950,Great Britain,Reg,Parnell,PAR,Alfa Romeo,3,3,70,+52.000s,4
1,1950,1,13 May 1950,Great Britain,Yves Giraud,Cabantous,CAB,Talbot-Lago,4,4,68,+2 laps,3
1,1950,1,13 May 1950,Great Britain,Louis,Rosier,ROS,Talbot-Lago,5,5,68,+2 laps,2
1,1950,1,13 May 1950,Great Britain,Bob,Gerard,GER,ERA,6,6,67,+3 laps,0
1,1950,1,13 May 1950,Great Britain,Cuth,Harrison,HAR,ERA,7,7,67,+3 laps,0
1,1950,1,13 May 1950,Great Britain,Philippe,Etancelin,ETA,Talbot-Lago,8,8,65,+5 laps,0
1,1950,1,13 May 1950,Great Britain,David,Hampshire,HAM,Maserati,9,9,64,+6 laps,0
1,1950,1,13 May 1950,Great Britain,Joe,Fry,FRY,Maserati,10,10,,SHC,0
1,1950,1,13 May 1950,Great Britain,Brian,Shawe-Taylor,SHA,Maserati,10,11,64,+6 laps,0
1,1950,1,13 May 1950,Great Britain,Johnny,Claes,CLA,Talbot-Lago,11,12,64,+6 laps,0
1,1950,1,13 May 1950,Great Britain,Juan Manuel,Fangio,FAN,Alfa Romeo,NC,13,62,DNF,0
1,1950,1,13 May 1950,Great Britain,Joe,Kelly,KEL,Alta,NC,14,57,+13 laps,0
1,1950,1,13 May 1950,Great Britain,Prince,Bira,BIR,Maserati,NC,15,49,DNF,0
1,1950,1,13 May 1950,Great Britain,David,Murray,MUR,Maserati,NC,16,44,DNF,0
1,1950,1,13 May 1950,Great Britain,Geoff,Crossley,CRO,Alta,NC,17,43,DNF,0
1,1950,1,13 May 1950,Great Britain,Toulo,de Graffenried,DEG,Maserati,NC,18,36,DNF,0
1,1950,1,13 May 1950,Great Britain,Louis,Chiron,CHI,Maserati,NC,19,24,DNF,0
1,1950,1,13 May 1950,Great Britain,Eugene,Martin,MAR,Talbot-Lago,NC,20,8,DNF,0
1,1950,1,13 May 1950,Great Britain,Peter,Walker,WAL,ERA,NC,21,,SHC,0
1,1950,1,13 May 1950,Great Britain,Tony,Rolt,ROL,ERA,NC,22,5,DNF,0
1,1950,1,13 May 1950,Great Britain,Leslie,Johnson,JOH,ERA,NC,23,2,DNF,0
2,1950,2,21 May 1950,Monaco,Juan Manuel,Fangio,FAN,Alfa Romeo,1,1,100,3:13:18.700,9
2,1950,2,21 May 1950,Monaco,Alberto,Ascari,ASC,Ferrari,2,2,99,+1 lap,6
