year,constructor
1950,Alfa Romeo
1951,Alfa Romeo
1952,Ferrari
1953,Ferrari
1954,Mercedes-Benz
1955,Mercedes-Benz
1956,Ferrari
1957,Maserati
1958,Ferrari
1959,Cooper Climax
1960,Cooper Climax
1961,Ferrari
1962,BRM
1963,Lotus Climax
1964,Ferrari
1965,Lotus Climax
1966,Brabham Repco
1967,Brabham Repco
1968,Lotus Ford
1969,Matra Ford
1970,Lotus Ford
1971,Tyrrell Ford
1972,Lotus Ford
1973,Tyrrell Ford
1974,McLaren Ford
1975,Ferrari
1976,McLaren Ford
1977,Ferrari
1978,Lotus Ford
1979,Ferrari
1980,Williams Ford
1981,Brabham Ford
1982,Williams Ford
1983,Brabham BMW
1984,McLaren TAG
1985,McLaren TAG
1986,McLaren TAG
1987,Williams Honda
1988,McLaren Honda
1989,McLaren Honda
1990,McLaren Honda
1991,McLaren Honda
1992,Williams Renault
1993,Williams Renault
1994,Benetton Ford
1995,Benetton Renault
1996,Williams Renault
1997,Williams Renault
1998,McLaren Mercedes
1999,McLaren Mercedes
2000,Ferrari
2001,Ferrari
2002,Ferrari
2003,Ferrari
2004,Ferrari
2005,Renault
2006,Renault
2007,Ferrari
2008,McLaren Mercedes
2009,Brawn Mercedes
2010,RBR Renault
2011,Red Bull Racing Renault
2012,Red Bull Racing Renault
2013,Red Bull Racing Renault
2014,Mercedes
2015,Mercedes
2016,Mercedes
2017,Mercedes
2018,Mercedes
2019,Mercedes
