,year,constructor_clean,podiums,run
0,1950,Alfa Romeo,12,1950 Alfa Romeo
1,1951,Alfa Romeo,9,1951 Alfa Romeo
2,1952,Ferrari,17,1952 Ferrari
3,1953,Ferrari,16,1953 Ferrari
4,1954,Mercedes,7,1954 Mercedes
5,1955,Mercedes,10,1955 Mercedes
6,1956,Ferrari,10,1956 Ferrari
7,1957,Maserati,10,1957 Maserati
8,1958,Ferrari,14,1958 Ferrari
9,1959,Cooper,13,1959 Cooper
10,1960,Cooper,14,1960 Cooper
11,1961,Ferrari,14,1961 Ferrari
12,1962,BRM,8,1962 BRM
13,1963,Lotus,9,1963 Lotus
14,1964,Ferrari,10,1964 Ferrari
15,1965,Lotus,7,1965 Lotus
16,1966,Brabham,9,1966 Brabham
17,1967,Brabham,14,1967 Brabham
18,1968,Lotus,9,1968 Lotus
19,1969,Matra,10,1969 Matra
20,1970,Lotus,7,1970 Lotus
21,1971,Tyrrell,11,1971 Tyrrell
22,1972,Lotus,8,1972 Lotus
23,1973,Tyrrell,15,1973 Tyrrell
24,1974,McLaren,10,1974 McLaren
25,1975,Ferrari,11,1975 Ferrari
26,1976,McLaren,10,1976 McLaren
27,1977,Ferrari,16,1977 Ferrari
28,1978,Lotus,14,1978 Lotus
29,1979,Ferrari,13,1979 Ferrari
30,1980,Williams,18,1980 Williams
31,1981,Brabham,7,1981 Brabham
32,1982,Williams,7,1982 Williams
33,1983,Brabham,10,1983 Brabham
34,1984,McLaren,18,1984 McLaren
35,1985,McLaren,12,1985 McLaren
36,1986,McLaren,12,1986 McLaren
37,1987,Williams,18,1987 Williams
38,1988,McLaren,25,1988 McLaren
39,1989,McLaren,18,1989 McLaren
40,1990,McLaren,18,1990 McLaren
41,1991,McLaren,18,1991 McLaren
42,1992,Williams,21,1992 Williams
43,1993,Williams,22,1993 Williams
44,1994,Benetton,12,1994 Benetton
45,1995,Benetton,15,1995 Benetton
46,1996,Williams,21,1996 Williams
47,1997,Williams,15,1997 Williams
48,1998,McLaren,20,1998 McLaren
49,1999,McLaren,16,1999 McLaren
50,2000,Ferrari,21,2000 Ferrari
51,2001,Ferrari,24,2001 Ferrari
52,2002,Ferrari,27,2002 Ferrari
53,2003,Ferrari,16,2003 Ferrari
54,2004,Ferrari,29,2004 Ferrari
55,2005,Renault,18,2005 Renault
56,2006,Renault,19,2006 Renault
57,2007,Ferrari,22,2007 Ferrari
58,2008,McLaren,13,2008 McLaren
59,2009,Brawn GP,15,2009 Brawn GP
60,2010,Red Bull,20,2010 Red Bull
61,2011,Red Bull,27,2011 Red Bull
62,2012,Red Bull,14,2012 Red Bull
63,2013,Red Bull,24,2013 Red Bull
64,2014,Mercedes,31,2014 Mercedes
65,2015,Mercedes,32,2015 Mercedes
66,2016,Mercedes,33,2016 Mercedes
67,2017,Mercedes,26,2017 Mercedes
68,2018,Mercedes,25,2018 Mercedes
