year,constructor_clean,wins,run,races,win_percentage
1950,Alfa Romeo,6,1950 Alfa Romeo,7,85.71428571428571
1951,Alfa Romeo,4,1951 Alfa Romeo,9,44.44444444444444
1952,Ferrari,7,1952 Ferrari,8,87.5
1953,Ferrari,7,1953 Ferrari,9,77.77777777777779
1954,Mercedes,4,1954 Mercedes,9,44.44444444444444
1955,Mercedes,5,1955 Mercedes,7,71.42857142857143
1956,Ferrari,5,1956 Ferrari,9,55.55555555555556
1957,Maserati,4,1957 Maserati,9,44.44444444444444
1958,Ferrari,2,1958 Ferrari,11,18.181818181818183
1959,Cooper,5,1959 Cooper,9,55.55555555555556
1960,Cooper,6,1960 Cooper,10,60.0
1961,Ferrari,5,1961 Ferrari,7,71.42857142857143
1962,BRM,4,1962 BRM,9,44.44444444444444
1963,Lotus,7,1963 Lotus,10,70.0
1964,Ferrari,3,1964 Ferrari,10,30.0
1965,Lotus,6,1965 Lotus,10,60.0
1966,Brabham,4,1966 Brabham,9,44.44444444444444
1967,Brabham,4,1967 Brabham,11,36.36363636363637
1968,Lotus,5,1968 Lotus,12,41.66666666666667
1969,Matra,6,1969 Matra,11,54.54545454545454
1970,Lotus,6,1970 Lotus,13,46.15384615384615
1971,Tyrrell,7,1971 Tyrrell,11,63.63636363636363
1972,Lotus,5,1972 Lotus,12,41.66666666666667
1973,Tyrrell,5,1973 Tyrrell,14,35.714285714285715
1974,McLaren,4,1974 McLaren,15,26.666666666666668
1975,Ferrari,6,1975 Ferrari,14,42.857142857142854
1976,McLaren,6,1976 McLaren,16,37.5
1977,Ferrari,4,1977 Ferrari,17,23.52941176470588
1978,Lotus,8,1978 Lotus,16,50.0
1979,Ferrari,6,1979 Ferrari,15,40.0
1980,Williams,6,1980 Williams,14,42.857142857142854
1981,Brabham,3,1981 Brabham,15,20.0
1982,Williams,1,1982 Williams,16,6.25
1983,Brabham,4,1983 Brabham,15,26.666666666666668
1984,McLaren,12,1984 McLaren,16,75.0
1985,McLaren,6,1985 McLaren,16,37.5
1986,McLaren,4,1986 McLaren,16,25.0
1987,Williams,9,1987 Williams,16,56.25
1988,McLaren,15,1988 McLaren,16,93.75
1989,McLaren,10,1989 McLaren,16,62.5
1990,McLaren,6,1990 McLaren,16,37.5
1991,McLaren,8,1991 McLaren,16,50.0
1992,Williams,10,1992 Williams,16,62.5
1993,Williams,10,1993 Williams,16,62.5
1994,Benetton,8,1994 Benetton,16,50.0
1995,Benetton,11,1995 Benetton,17,64.70588235294117
1996,Williams,12,1996 Williams,16,75.0
1997,Williams,8,1997 Williams,17,47.05882352941176
1998,McLaren,9,1998 McLaren,16,56.25
1999,McLaren,7,1999 McLaren,16,43.75
2000,Ferrari,10,2000 Ferrari,17,58.82352941176471
2001,Ferrari,9,2001 Ferrari,17,52.94117647058824
2002,Ferrari,15,2002 Ferrari,17,88.23529411764706
2003,Ferrari,8,2003 Ferrari,16,50.0
2004,Ferrari,15,2004 Ferrari,18,83.33333333333334
2005,Renault,8,2005 Renault,19,42.10526315789473
2006,Renault,8,2006 Renault,18,44.44444444444444
2007,Ferrari,9,2007 Ferrari,17,52.94117647058824
2008,McLaren,6,2008 McLaren,18,33.33333333333333
2009,Brawn GP,8,2009 Brawn GP,17,47.05882352941176
2010,Red Bull,9,2010 Red Bull,19,47.368421052631575
2011,Red Bull,12,2011 Red Bull,19,63.1578947368421
2012,Red Bull,7,2012 Red Bull,20,35.0
2013,Red Bull,13,2013 Red Bull,19,68.42105263157895
2014,Mercedes,16,2014 Mercedes,19,84.21052631578947
2015,Mercedes,16,2015 Mercedes,19,84.21052631578947
2016,Mercedes,19,2016 Mercedes,21,90.47619047619048
2017,Mercedes,12,2017 Mercedes,20,60.0
2018,Mercedes,11,2018 Mercedes,21,52.38095238095239
