groups,Alain Prost,Alan Jones,Alberto Ascari,Ayrton Senna,Damon Hill,Denny Hulme,Emerson Fittipaldi,Fernando Alonso,Giuseppe Farina,Graham Hill,Jack Brabham,Jackie Stewart,Jacques Villeneuve,James Hunt,Jenson Button,Jim Clark,Jochen Rindt,Jody Scheckter,John Surtees,Juan Manuel Fangio,Keke Rosberg,Kimi Raikkonen,Lewis Hamilton,Mario Andretti,Michael Schumacher,Mika Hakkinen,Mike Hawthorn,Nelson Piquet,Nico Rosberg,Nigel Mansell,Niki Lauda,Phil Hill,Sebastian Vettel
Ferrari,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,,5,,1,,,0,2,1,0
McLaren,3,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,2,,,,0,1,0,0
Mercedes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,4,,,,,,1,0,,,0
Williams,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,,,,,,,1,,1,,,0
Lotus,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,,,,,1,,,,,,0,,,0
Brabham,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,0,0,,,,,,,,,2,,0,,,0
Red Bull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Alfa Romeo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,1,,,,,,,,,,0,,,0
Bennetton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,2,,,,,0,,,0
Cooper,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,0,0,,,,,,,,,,,0,,,0
Renault,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,0,,,0
Tyrrell,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,0,,,0
Brawn GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,,,,,,,,,,,0,,,0
BRM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,,,,,,,,,,,0,,,0
Maserati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,,,,,,,,,,0,,,0
Matra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,,,,,,,,,,0,,,0
,4,1,2,3,1,1,2,2,1,2,3,3,1,1,1,2,1,1,1,5,1,1,5,1,7,2,1,3,1,1,3,1,4
