year,team,wins,races,win_percentage,podium_spots_claimed,podium_spots_available,podium_percentage,run_id,p_average,perfect,delta,std,var
1950,Alfa Romeo,6,7,85.71428571428571,12,18,66.66666666666666,Alfa Romeo 1950,5.661111111111111,1.9285714285714286,3.7325396825396826,3.167222173497827,10.031296296296299
1951,Alfa Romeo,4,8,50.0,9,21,42.857142857142854,Alfa Romeo 1951,7.642857142857143,2.1875,5.455357142857143,4.02817458362848,16.226190476190478
1952,Ferrari,7,8,87.5,17,22,77.27272727272727,Ferrari 1952,12.63769841269841,3.5625,9.07519841269841,7.652585988435912,58.56207231040564
1953,Ferrari,7,9,77.77777777777779,16,24,66.66666666666666,Ferrari 1953,7.745982142857143,3.111111111111111,4.634871031746032,2.705494246205977,7.319699116253646
1954,Mercedes,4,9,44.44444444444444,7,17,41.17647058823529,Mercedes 1954,6.083333333333333,1.3333333333333333,4.75,1.2371562373263758,1.5305555555555557
1955,Mercedes,5,7,71.42857142857143,10,18,55.55555555555556,Mercedes 1955,7.284722222222221,2.0,5.284722222222221,4.86344190153739,23.65306712962963
1956,Ferrari,5,8,62.5,10,21,47.61904761904761,Ferrari 1956,8.739285714285714,2.6875,6.051785714285714,2.7455212446386033,7.537886904761905
1957,Maserati,4,8,50.0,10,21,47.61904761904761,Maserati 1957,10.175680272108846,4.1875,5.9881802721088455,3.533930383252719,12.488663953676712
1958,Ferrari,2,11,18.181818181818183,14,30,46.666666666666664,Ferrari 1958,8.05,2.0454545454545454,6.004545454545456,1.8820136313645488,3.5419753086419754
1959,Cooper,5,9,55.55555555555556,13,24,54.166666666666664,Cooper 1959,9.801339285714285,3.7777777777777777,6.023561507936507,2.1354130371630013,4.5599888392857135
1960,Cooper,6,10,60.0,14,27,51.85185185185185,Cooper 1960,10.777116402116402,4.45,6.327116402116402,2.4628603090696046,6.065680901990428
1961,Ferrari,5,8,62.5,14,24,58.333333333333336,Ferrari 1961,9.127083333333333,2.375,6.752083333333333,7.416722511828275,55.00777281746032
1962,BRM,4,9,44.44444444444444,8,22,36.36363636363637,BRM 1962,8.750000000000002,1.7777777777777777,6.972222222222224,4.916666666666667,24.173611111111114
1963,Lotus,7,10,70.0,9,30,30.0,Lotus 1963,12.777777777777775,3.85,8.927777777777775,2.8125320187981737,7.910336356764931
1964,Ferrari,3,10,30.0,10,22,45.45454545454545,Ferrari 1964,7.85,1.6,6.25,4.406399666926657,19.416358024691355
1965,Lotus,6,10,60.0,7,30,23.333333333333332,Lotus 1965,11.771666666666665,3.0,8.771666666666665,2.4508382289925534,6.0066080246913565
1966,Brabham,4,9,44.44444444444444,9,24,37.5,Brabham 1966,9.514814814814816,2.2777777777777777,7.237037037037038,4.624913245766259,21.389822530864194
1967,Brabham,4,11,36.36363636363637,14,31,45.16129032258064,Brabham 1967,6.340909090909091,2.0454545454545454,4.295454545454545,2.794949449317899,7.811742424242425
1968,Lotus,5,12,41.66666666666667,9,35,25.71428571428571,Lotus 1968,9.715277777777777,2.0833333333333335,7.631944444444443,3.351552168179236,11.232901936026938
1969,Matra,6,11,54.54545454545454,10,26,38.46153846153847,Matra 1969,6.28030303030303,1.6818181818181819,4.598484848484849,2.852940181070693,8.139267676767677
1970,Lotus,6,13,46.15384615384615,7,37,18.91891891891892,Lotus 1970,12.619230769230768,2.230769230769231,10.388461538461538,5.949719282803143,35.399159544159545
1971,Tyrrell,7,11,63.63636363636363,11,23,47.82608695652174,Tyrrell 1971,7.742424242424243,1.5454545454545454,6.196969696969697,4.821458767475321,23.246464646464645
1972,Lotus,5,12,41.66666666666667,8,27,29.629629629629626,Lotus 1972,12.305555555555555,1.6666666666666667,10.63888888888889,6.355556438510923,40.39309764309764
1973,Tyrrell,5,15,33.33333333333333,15,33,45.45454545454545,Tyrrell 1973,6.988888888888889,1.6,5.388888888888889,6.886686796018462,47.42645502645503
1974,McLaren,4,15,26.666666666666668,10,45,22.22222222222222,McLaren 1974,9.455555555555556,2.033333333333333,7.4222222222222225,4.819959603773727,23.23201058201058
1975,Ferrari,6,14,42.857142857142854,11,28,39.285714285714285,Ferrari 1975,7.214285714285714,1.5,5.714285714285714,4.602316664606932,21.181318681318675
1976,McLaren,6,16,37.5,10,32,31.25,McLaren 1976,9.15625,1.5,7.65625,6.818403405490174,46.490625
1977,Ferrari,4,17,23.52941176470588,16,35,45.714285714285715,Ferrari 1977,8.0,1.5294117647058822,6.470588235294118,5.291502622129181,28.0
1978,Lotus,8,16,50.0,14,41,34.146341463414636,Lotus 1978,9.645833333333334,1.78125,7.864583333333334,6.607760588883348,43.66250000000001
1979,Ferrari,6,15,40.0,13,30,43.333333333333336,Ferrari 1979,5.2,1.5,3.7,3.6732624658275026,13.492857142857146
1980,Williams,6,14,42.857142857142854,18,32,56.25,Williams 1980,7.0,1.6428571428571428,5.357142857142858,4.462569877831597,19.914529914529915
1981,Brabham,3,15,20.0,7,29,24.137931034482758,Brabham 1981,9.866666666666667,1.4666666666666666,8.4,5.183995517340801,26.87380952380952
1982,Williams,1,16,6.25,7,30,23.333333333333332,Williams 1982,8.933333333333334,1.40625,7.527083333333334,5.2842983946603095,27.923809523809524
1983,Brabham,4,15,26.666666666666668,10,30,33.33333333333333,Brabham 1983,10.733333333333333,1.5,9.233333333333333,4.174183695503772,17.423809523809524
1984,McLaren,12,16,75.0,18,33,54.54545454545454,McLaren 1984,6.916666666666667,1.53125,5.385416666666667,4.763285514105667,22.68888888888889
1985,McLaren,6,16,37.5,12,32,37.5,McLaren 1985,9.5,1.5,8.0,4.792355023020171,22.966666666666665
1986,McLaren,4,16,25.0,12,32,37.5,McLaren 1986,8.96875,1.5,7.46875,5.619812422729665,31.582291666666666
1987,Williams,9,16,56.25,18,32,56.25,Williams 1987,7.3125,1.5,5.8125,6.209871174187111,38.5625
1988,McLaren,15,16,93.75,25,32,78.125,McLaren 1988,4.125,1.5,2.625,4.627814458971607,21.416666666666668
1989,McLaren,10,16,62.5,18,32,56.25,McLaren 1989,8.125,1.5,6.625,7.184474000695296,51.61666666666667
1990,McLaren,6,16,37.5,18,32,56.25,McLaren 1990,7.3125,1.5,5.8125,6.013526419664256,36.1625
1991,McLaren,8,16,50.0,18,32,56.25,McLaren 1991,7.4375,1.5,5.9375,6.303107699116894,39.729166666666664
1992,Williams,10,16,62.5,21,32,65.625,Williams 1992,6.46875,1.5,4.96875,6.1141059580830515,37.38229166666667
1993,Williams,10,16,62.5,22,32,68.75,Williams 1993,5.46875,1.5,3.96875,3.3836309392918924,11.448958333333334
1994,Benetton,8,16,50.0,12,32,37.5,Benetton 1994,11.1875,1.5,9.6875,5.498105734402229,30.229166666666668
1995,Benetton,11,17,64.70588235294117,15,34,44.11764705882353,Benetton 1995,6.676470588235294,1.5,5.176470588235294,4.6231116971911765,21.373161764705884
1996,Williams,12,16,75.0,21,32,65.625,Williams 1996,4.8125,1.5,3.3125,3.628015986734347,13.1625
1997,Williams,8,17,47.05882352941176,15,34,44.11764705882353,Williams 1997,7.823529411764706,1.5,6.323529411764706,4.5412731435915505,20.623161764705884
1998,McLaren,9,16,56.25,20,32,62.5,McLaren 1998,5.78125,1.5,4.28125,5.082547753505781,25.832291666666666
1999,McLaren,7,16,43.75,16,32,50.0,McLaren 1999,7.75,1.5,6.25,4.339738855430512,18.833333333333332
2000,Ferrari,10,17,58.82352941176471,21,34,61.76470588235294,Ferrari 2000,5.764705882352941,1.5,4.264705882352941,3.9651515066373237,15.722426470588237
2001,Ferrari,9,17,52.94117647058824,24,34,70.58823529411765,Ferrari 2001,4.911764705882353,1.5,3.4117647058823533,3.7259029699089687,13.882352941176475
