year,team,run_id,wins,win_percentage,podium_spots_claimed,podium_percentage,p_average,distance_rank,b1,a1,b2,a2,a3,distance_main,rank_main,two_dgit,rank
1952,Ferrari,Ferrari 1952,7,87.5,17,77.27272727,12.63769841,68.47627326,0.333333333,0.928571429,0.384615385,0.893741335,0.98541262,1.622361397,1,1.62,1
1988,McLaren,McLaren 1988,15,93.75,25,78.125,4.125,9.273618495,0.777777778,1,0.692307692,0.906794662,0.098929708,1.353537457,0.75266957,1.35,2
2015,Mercedes,Mercedes 2015,16,84.21052632,32,84.21052632,3.210526316,6.403124237,0.833333333,0.890977444,0.961538462,1,0.003699587,1.339348533,0.739615105,1.34,3
2016,Mercedes,Mercedes 2016,19,90.47619048,33,78.57142857,3.476190476,7.348469228,1,0.962585034,1,0.913632119,0.031364932,1.32750795,0.728721223,1.33,4
2002,Ferrari,Ferrari 2002,15,88.23529412,27,79.41176471,4.235294118,10.29563014,0.777777778,0.93697479,0.769230769,0.926502627,0.110415355,1.322316311,0.723944675,1.32,5
2014,Mercedes,Mercedes 2014,16,84.21052632,31,81.57894737,4.210526316,10.19803903,0.833333333,0.890977444,0.923076923,0.959694989,0.107836122,1.313957346,0.716254042,1.31,6
2004,Ferrari,Ferrari 2004,15,83.33333333,29,80.55555556,3.305555556,9.055385138,0.777777778,0.880952381,0.846153846,0.944020818,0.013595603,1.291292857,0.695401666,1.29,7
1963,Lotus,Lotus 1963,7,70,9,30,12.77777778,93.66963222,0.333333333,0.728571429,0.076923077,0.169716776,1,1.248847513,0.656349991,1.25,8
1953,Ferrari,Ferrari 1953,7,77.77777778,16,66.66666667,7.745982143,43.39354791,0.333333333,0.817460317,0.346153846,0.731299927,0.47600624,1.195668388,0.607422742,1.20,9
1950,Alfa Romeo,Alfa Romeo 1950,6,85.71428571,12,66.66666667,5.661111111,21.67948339,0.277777778,0.908163265,0.192307692,0.731299927,0.258894996,1.194398057,0.606253979,1.19,10
1960,Cooper,Cooper 1960,6,60,14,51.85185185,10.7771164,74.31016081,0.277777778,0.614285714,0.269230769,0.504397644,0.791658057,1.121822803,0.539481396,1.12,11
1965,Lotus,Lotus 1965,6,60,7,23.33333333,11.77166667,95.44631999,0.277777778,0.614285714,0,0.067610748,0.895227076,1.087818767,0.508196114,1.09,12
1970,Lotus,Lotus 1970,6,46.15384615,7,18.91891892,12.61923077,105.3517916,0.277777778,0.456043956,0,0,0.983489464,1.084079155,0.504755499,1.08,13
1961,Ferrari,Ferrari 1961,5,62.5,14,58.33333333,9.127083333,58.89821729,0.222222222,0.642857143,0.269230769,0.603667393,0.619829332,1.077899823,0.499070228,1.08,13
1996,Williams,Williams 1996,12,75,21,65.625,4.8125,19.20937271,0.611111111,0.785714286,0.538461538,0.715345861,0.170523575,1.076171422,0.497480019,1.08,13
1972,Lotus,Lotus 1972,5,41.66666667,8,29.62962963,12.30555556,105.0190459,0.222222222,0.404761905,0.038461538,0.164044218,0.950824414,1.046331579,0.470025986,1.05,16
