year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,var,distance
2015,Mercedes,16,2,19,84.21052632,6,32,2,38,84.21052632,1,Mercedes 2015,3.210526316,2,1.5,1.710526316,10.36988304,6.403124237
2016,Mercedes,19,1,21,90.47619048,2,33,1,42,78.57142857,5,Mercedes 2016,3.476190476,5,1.5,1.976190476,20.96190476,7.348469228
2004,Ferrari,15,4,18,83.33333333,8,29,4,36,80.55555556,3,Ferrari 2004,3.305555556,3,1.5,1.805555556,6.621732026,9.055385138
1988,McLaren,15,4,16,93.75,1,25,8,32,78.125,6,McLaren 1988,4.125,7,1.5,2.625,21.41666667,9.273618495
2014,Mercedes,16,2,19,84.21052632,6,31,3,38,81.57894737,2,Mercedes 2014,4.210526316,8,1.5,2.710526316,15.11988304,10.19803903
2002,Ferrari,15,4,17,88.23529412,3,27,5,34,79.41176471,4,Ferrari 2002,4.235294118,9,1.5,2.735294118,15.78492647,10.29563014
1996,Williams,12,8,16,75,10,21,14,32,65.625,13,Williams 1996,4.8125,10,1.5,3.3125,13.1625,19.20937271
2011,Red Bull,12,8,19,63.15789474,17,27,5,38,71.05263158,8,Red Bull 2011,3.473684211,4,1.5,1.973684211,10.29093567,19.20937271
1950,Alfa Romeo,6,37,7,85.71428571,5,12,45,18,66.66666667,11,Alfa Romeo 1950,5.661111111,18,1.928571429,3.732539683,10.0312963,21.67948339
2013,Red Bull,13,7,19,68.42105263,14,24,10,38,63.15789474,17,Red Bull 2013,4.815789474,11,1.5,3.315789474,14.11695906,24.61706725
1993,Williams,10,14,16,62.5,18,22,12,32,68.75,10,Williams 1993,5.46875,17,1.5,3.96875,11.44895833,26.70205985
2017,Mercedes,12,8,20,60,23,26,7,40,65,15,Mercedes 2017,3.175,1,1.5,1.675,3.165131579,27.47726333
1992,Williams,10,14,16,62.5,18,21,14,32,65.625,13,Williams 1992,6.46875,26,1.5,4.96875,37.38229167,34.19064199
2001,Ferrari,9,18,17,52.94117647,31,24,10,34,70.58823529,9,Ferrari 2001,4.911764706,13,1.5,3.411764706,13.88235294,34.79942528
2000,Ferrari,10,14,17,58.82352941,26,21,14,34,61.76470588,19,Ferrari 2000,5.764705882,19,1.5,4.264705882,15.72242647,37.38983819
