year,team,wins,rank_win,races,win_percentage,rank_win_percentage,podium_spots_claimed,rank_podiums,podium_spots_available,podium_percentage,rank_podium_percentage,run_id,p_average,rank_p_average,perfect,delta,std,var,sum_rank,avg_rank,rank_composite
2017,Mercedes,12,8,20,60,99,26,7,40,65,99,Mercedes 2017,3.175,1,1.5,1.675,1.779081667,3.165131579,54,13,10
2015,Mercedes,16,2,19,84.21052632,6,32,2,38,84.21052632,1,Mercedes 2015,3.210526316,2,1.5,1.710526316,3.220230278,10.36988304,13,3,1
2004,Ferrari,15,4,18,83.33333333,8,29,4,36,80.55555556,3,Ferrari 2004,3.305555556,3,1.5,1.805555556,2.57327263,6.621732026,22,4.666666667,3
2011,Red Bull,12,8,19,63.15789474,99,27,5,38,71.05263158,8,Red Bull 2011,3.473684211,4,1.5,1.973684211,3.207948826,10.29093567,42,9.666666667,7
2016,Mercedes,19,1,21,90.47619048,2,33,1,42,78.57142857,5,Mercedes 2016,3.476190476,5,1.5,1.976190476,4.578417277,20.96190476,14,4,2
2018,Mercedes,11,99,21,52.38095238,99,25,8,42,59.52380952,99,Mercedes 2018,3.857142857,6,1.5,2.357142857,3.428348207,11.75357143,79,19.66666667,15
1988,McLaren,15,4,16,93.75,1,25,8,32,78.125,6,McLaren 1988,4.125,7,1.5,2.625,4.627814459,21.41666667,26,4.666666667,3
2014,Mercedes,16,2,19,84.21052632,6,31,3,38,81.57894737,2,Mercedes 2014,4.210526316,8,1.5,2.710526316,3.88842938,15.11988304,21,5.333333333,5
2002,Ferrari,15,4,17,88.23529412,3,27,5,34,79.41176471,4,Ferrari 2002,4.235294118,9,1.5,2.735294118,3.973024851,15.78492647,25,5.333333333,5
1996,Williams,12,8,16,75,10,21,99,32,65.625,99,Williams 1996,4.8125,10,1.5,3.3125,3.628015987,13.1625,55,11,8
2013,Red Bull,13,7,19,68.42105263,99,24,10,38,63.15789474,99,Red Bull 2013,4.815789474,99,1.5,3.315789474,3.757254192,14.11695906,59,14,11
2009,Brawn GP,8,99,17,47.05882353,99,15,99,34,44.11764706,99,Brawn GP 2009,4.882352941,99,1.5,3.382352941,3.140110526,9.860294118,152,32.33333333,31
2001,Ferrari,9,99,17,52.94117647,99,24,10,34,70.58823529,9,Ferrari 2001,4.911764706,99,1.5,3.411764706,3.72590297,13.88235294,81,17.66666667,13
2006,Renault,8,99,18,44.44444444,99,19,99,36,52.77777778,99,Renault 2006,4.916666667,99,1.5,3.416666667,3.90794816,15.27205882,130,29.33333333,25
2007,Ferrari,9,99,17,52.94117647,99,22,99,34,64.70588235,99,Ferrari 2007,4.941176471,99,1.5,3.441176471,3.728615498,13.90257353,92,20.66666667,17
1979,Ferrari,6,99,15,40,99,13,99,30,43.33333333,99,Ferrari 1979,5.2,99,1.5,3.7,3.673262466,13.49285714,196,39,38
1993,Williams,10,99,16,62.5,99,22,99,32,68.75,10,Williams 1993,5.46875,99,1.5,3.96875,3.383630939,11.44895833,71,15,12
1950,Alfa Romeo,6,99,7,85.71428571,5,12,99,18,66.66666667,99,Alfa Romeo 1950,5.661111111,99,1.928571429,3.732539683,3.167222173,10.0312963,116,11.33333333,9
2000,Ferrari,10,99,17,58.82352941,99,21,99,34,61.76470588,99,Ferrari 2000,5.764705882,99,1.5,4.264705882,3.965151507,15.72242647,92,21.33333333,18
1998,McLaren,9,99,16,56.25,99,20,99,32,62.5,99,McLaren 1998,5.78125,99,1.5,4.28125,5.082547754,25.83229167,100,21.66666667,19
2010,Red Bull,9,99,19,47.36842105,99,20,99,38,52.63157895,99,Red Bull 2010,6.052631579,99,1.5,4.552631579,5.206552327,27.10818713,127,30.66666667,30
1954,Mercedes,4,99,9,44.44444444,99,7,99,17,41.17647059,99,Mercedes 1954,6.083333333,99,1.333333333,4.75,1.237156237,1.530555556,236,38.33333333,37
2003,Ferrari,8,99,16,50,99,16,99,32,50,99,Ferrari 2003,6.09375,99,1.5,4.59375,4.42424664,19.57395833,141,30,27
1969,Matra,6,99,11,54.54545455,99,10,99,26,38.46153846,99,Matra 1969,6.28030303,99,1.681818182,4.598484848,2.852940181,8.139267677,193,35,35
1967,Brabham,4,99,11,36.36363636,99,14,99,31,45.16129032,99,Brabham 1967,6.340909091,99,2.045454545,4.295454545,2.794949449,7.811742424,218,42,44
1992,Williams,10,99,16,62.5,99,21,99,32,65.625,99,Williams 1992,6.46875,99,1.5,4.96875,6.114105958,37.38229167,85,19,14
2012,Red Bull,7,99,20,35,99,14,99,40,35,99,Red Bull 2012,6.475,99,1.5,4.975,4.802617159,23.06513158,211,48,49
2008,McLaren,6,99,18,33.33333333,99,13,99,36,36.11111111,99,McLaren 2008,6.555555556,99,1.5,5.055555556,3.629490683,13.17320261,224,48.33333333,51
1995,Benetton,11,99,17,64.70588235,99,15,99,34,44.11764706,99,Benetton 1995,6.676470588,99,1.5,5.176470588,4.623111697,21.37316176,132,29.33333333,25
2005,Renault,8,99,19,42.10526316,99,18,99,38,47.36842105,99,Renault 2005,6.684210526,99,1.5,5.184210526,5.414000693,29.31140351,162,39.66666667,41
1984,McLaren,12,8,16,75,10,18,99,33,54.54545455,99,McLaren 1984,6.916666667,99,1.53125,5.385416667,4.763285514,22.68888889,97,23,20
1973,Tyrrell,5,99,15,33.33333333,99,15,99,33,45.45454545,99,Tyrrell 1973,6.988888889,99,1.6,5.388888889,6.886686796,47.42645503,214,44.33333333,47
1980,Williams,6,99,14,42.85714286,99,18,99,32,56.25,99,Williams 1980,7,99,1.642857143,5.357142857,4.462569878,19.91452991,161,34.66666667,34
1975,Ferrari,6,99,14,42.85714286,99,11,99,28,39.28571429,99,Ferrari 1975,7.214285714,99,1.5,5.714285714,4.602316665,21.18131868,219,44.33333333,47
1955,Mercedes,5,99,7,71.42857143,99,10,99,18,55.55555556,99,Mercedes 1955,7.284722222,99,2,5.284722222,4.863441902,23.65306713,174,24.66666667,21
1987,Williams,9,99,16,56.25,99,18,99,32,56.25,99,Williams 1987,7.3125,99,1.5,5.8125,6.209871174,38.5625,123,28.33333333,23
1990,McLaren,6,99,16,37.5,99,18,99,32,56.25,99,McLaren 1990,7.3125,99,1.5,5.8125,6.01352642,36.1625,170,37.66666667,36
1991,McLaren,8,99,16,50,99,18,99,32,56.25,99,McLaren 1991,7.4375,99,1.5,5.9375,6.303107699,39.72916667,137,31.33333333,31
1951,Alfa Romeo,4,99,8,50,99,9,99,21,42.85714286,99,Alfa Romeo 1951,7.642857143,99,2.1875,5.455357143,4.028174584,16.22619048,236,40.33333333,42
1971,Tyrrell,7,99,11,63.63636364,99,11,99,23,47.82608696,99,Tyrrell 1971,7.742424242,99,1.545454545,6.196969697,4.821458767,23.24646465,171,30.33333333,28
1953,Ferrari,7,99,9,77.77777778,9,16,99,24,66.66666667,99,Ferrari 1953,7.745982143,99,3.111111111,4.634871032,2.705494246,7.319699116,120,20.33333333,16
