year,constructor_clean,podiums,run,races,available_podium_spots,podium_percentage
1950,Alfa Romeo,12,1950 Alfa Romeo,7,18,66.66666666666666
1951,Alfa Romeo,9,1951 Alfa Romeo,9,21,42.857142857142854
1952,Ferrari,17,1952 Ferrari,8,22,77.27272727272727
1953,Ferrari,16,1953 Ferrari,9,24,66.66666666666666
1954,Mercedes,7,1954 Mercedes,9,17,41.17647058823529
1955,Mercedes,10,1955 Mercedes,7,18,55.55555555555556
1956,Ferrari,10,1956 Ferrari,9,21,47.61904761904761
1957,Maserati,10,1957 Maserati,9,21,47.61904761904761
1958,Ferrari,14,1958 Ferrari,11,29,48.275862068965516
1959,Cooper,13,1959 Cooper,9,24,54.166666666666664
1960,Cooper,14,1960 Cooper,10,27,51.85185185185185
1961,Ferrari,14,1961 Ferrari,7,21,66.66666666666666
1962,BRM,8,1962 BRM,9,19,42.10526315789473
1963,Lotus,9,1963 Lotus,10,27,33.33333333333333
1964,Ferrari,10,1964 Ferrari,10,22,45.45454545454545
1965,Lotus,7,1965 Lotus,10,23,30.434782608695656
1966,Brabham,9,1966 Brabham,9,17,52.94117647058824
1967,Brabham,14,1967 Brabham,11,27,51.85185185185185
1968,Lotus,9,1968 Lotus,12,33,27.27272727272727
1969,Matra,10,1969 Matra,11,25,40.0
1970,Lotus,7,1970 Lotus,13,32,21.875
1971,Tyrrell,11,1971 Tyrrell,11,23,47.82608695652174
1972,Lotus,8,1972 Lotus,12,27,29.629629629629626
1973,Tyrrell,15,1973 Tyrrell,14,30,50.0
1974,McLaren,10,1974 McLaren,15,45,22.22222222222222
1975,Ferrari,11,1975 Ferrari,14,28,39.285714285714285
1976,McLaren,10,1976 McLaren,16,32,31.25
1977,Ferrari,16,1977 Ferrari,17,33,48.484848484848484
1978,Lotus,14,1978 Lotus,16,41,34.146341463414636
1979,Ferrari,13,1979 Ferrari,15,30,43.333333333333336
1980,Williams,18,1980 Williams,14,34,52.94117647058824
1981,Brabham,7,1981 Brabham,15,29,24.137931034482758
1982,Williams,7,1982 Williams,16,30,23.333333333333332
1983,Brabham,10,1983 Brabham,15,29,34.48275862068966
1984,McLaren,18,1984 McLaren,16,32,56.25
1985,McLaren,12,1985 McLaren,16,30,40.0
1986,McLaren,12,1986 McLaren,16,32,37.5
1987,Williams,18,1987 Williams,16,30,60.0
1988,McLaren,25,1988 McLaren,16,32,78.125
1989,McLaren,18,1989 McLaren,16,29,62.06896551724138
1990,McLaren,18,1990 McLaren,16,31,58.06451612903226
1991,McLaren,18,1991 McLaren,16,32,56.25
1992,Williams,21,1992 Williams,16,32,65.625
1993,Williams,22,1993 Williams,16,32,68.75
1994,Benetton,12,1994 Benetton,16,29,41.37931034482759
1995,Benetton,15,1995 Benetton,17,34,44.11764705882353
1996,Williams,21,1996 Williams,16,32,65.625
1997,Williams,15,1997 Williams,17,33,45.45454545454545
1998,McLaren,20,1998 McLaren,16,32,62.5
1999,McLaren,16,1999 McLaren,16,32,50.0
2000,Ferrari,21,2000 Ferrari,17,34,61.76470588235294
2001,Ferrari,24,2001 Ferrari,17,34,70.58823529411765
2002,Ferrari,27,2002 Ferrari,17,34,79.41176470588235
2003,Ferrari,16,2003 Ferrari,16,32,50.0
2004,Ferrari,29,2004 Ferrari,18,36,80.55555555555556
2005,Renault,18,2005 Renault,19,38,47.368421052631575
2006,Renault,19,2006 Renault,18,36,52.77777777777778
2007,Ferrari,22,2007 Ferrari,17,33,66.66666666666666
2008,McLaren,13,2008 McLaren,18,36,36.11111111111111
2009,Brawn GP,15,2009 Brawn GP,17,34,44.11764705882353
2010,Red Bull,20,2010 Red Bull,19,38,52.63157894736842
2011,Red Bull,27,2011 Red Bull,19,38,71.05263157894737
2012,Red Bull,14,2012 Red Bull,20,40,35.0
2013,Red Bull,24,2013 Red Bull,19,38,63.1578947368421
2014,Mercedes,31,2014 Mercedes,19,38,81.57894736842105
2015,Mercedes,32,2015 Mercedes,19,38,84.21052631578947
2016,Mercedes,33,2016 Mercedes,21,42,78.57142857142857
2017,Mercedes,26,2017 Mercedes,20,40,65.0
2018,Mercedes,25,2018 Mercedes,21,42,59.523809523809526
