year,constructor_clean,run,races,wins,podiums,available_podium_spots,win_percentage,podium_percentage
1950,Alfa Romeo,1950 Alfa Romeo,7,6,12,18,0.8571428571428571,0.6666666666666666
1951,Alfa Romeo,1951 Alfa Romeo,9,4,9,21,0.4444444444444444,0.42857142857142855
1952,Ferrari,1952 Ferrari,8,7,17,22,0.875,0.7727272727272727
1953,Ferrari,1953 Ferrari,9,7,16,24,0.7777777777777778,0.6666666666666666
1954,Mercedes,1954 Mercedes,9,4,7,17,0.4444444444444444,0.4117647058823529
1955,Mercedes,1955 Mercedes,7,5,10,18,0.7142857142857143,0.5555555555555556
1956,Ferrari,1956 Ferrari,9,5,10,21,0.5555555555555556,0.47619047619047616
1957,Maserati,1957 Maserati,9,4,10,21,0.4444444444444444,0.47619047619047616
1958,Ferrari,1958 Ferrari,11,2,14,29,0.18181818181818182,0.4827586206896552
1959,Cooper,1959 Cooper,9,5,13,24,0.5555555555555556,0.5416666666666666
1960,Cooper,1960 Cooper,10,6,14,27,0.6,0.5185185185185185
1961,Ferrari,1961 Ferrari,7,5,14,21,0.7142857142857143,0.6666666666666666
1962,BRM,1962 BRM,9,4,8,19,0.4444444444444444,0.42105263157894735
1963,Lotus,1963 Lotus,10,7,9,27,0.7,0.3333333333333333
1964,Ferrari,1964 Ferrari,10,3,10,22,0.3,0.45454545454545453
1965,Lotus,1965 Lotus,10,6,7,23,0.6,0.30434782608695654
1966,Brabham,1966 Brabham,9,4,9,17,0.4444444444444444,0.5294117647058824
1967,Brabham,1967 Brabham,11,4,14,27,0.36363636363636365,0.5185185185185185
1968,Lotus,1968 Lotus,12,5,9,33,0.4166666666666667,0.2727272727272727
1969,Matra,1969 Matra,11,6,10,25,0.5454545454545454,0.4
1970,Lotus,1970 Lotus,13,6,7,32,0.46153846153846156,0.21875
1971,Tyrrell,1971 Tyrrell,11,7,11,23,0.6363636363636364,0.4782608695652174
1972,Lotus,1972 Lotus,12,5,8,27,0.4166666666666667,0.2962962962962963
1973,Tyrrell,1973 Tyrrell,14,5,15,30,0.35714285714285715,0.5
1974,McLaren,1974 McLaren,15,4,10,45,0.26666666666666666,0.2222222222222222
1975,Ferrari,1975 Ferrari,14,6,11,28,0.42857142857142855,0.39285714285714285
1976,McLaren,1976 McLaren,16,6,10,32,0.375,0.3125
1977,Ferrari,1977 Ferrari,17,4,16,33,0.23529411764705882,0.48484848484848486
1978,Lotus,1978 Lotus,16,8,14,41,0.5,0.34146341463414637
1979,Ferrari,1979 Ferrari,15,6,13,30,0.4,0.43333333333333335
1980,Williams,1980 Williams,14,6,18,34,0.42857142857142855,0.5294117647058824
1981,Brabham,1981 Brabham,15,3,7,29,0.2,0.2413793103448276
1982,Williams,1982 Williams,16,1,7,30,0.0625,0.23333333333333334
1983,Brabham,1983 Brabham,15,4,10,29,0.26666666666666666,0.3448275862068966
1984,McLaren,1984 McLaren,16,12,18,32,0.75,0.5625
1985,McLaren,1985 McLaren,16,6,12,30,0.375,0.4
1986,McLaren,1986 McLaren,16,4,12,32,0.25,0.375
1987,Williams,1987 Williams,16,9,18,30,0.5625,0.6
1988,McLaren,1988 McLaren,16,15,25,32,0.9375,0.78125
1989,McLaren,1989 McLaren,16,10,18,29,0.625,0.6206896551724138
1990,McLaren,1990 McLaren,16,6,18,31,0.375,0.5806451612903226
1991,McLaren,1991 McLaren,16,8,18,32,0.5,0.5625
1992,Williams,1992 Williams,16,10,21,32,0.625,0.65625
1993,Williams,1993 Williams,16,10,22,32,0.625,0.6875
1994,Benetton,1994 Benetton,16,8,12,29,0.5,0.41379310344827586
1995,Benetton,1995 Benetton,17,11,15,34,0.6470588235294118,0.4411764705882353
1996,Williams,1996 Williams,16,12,21,32,0.75,0.65625
1997,Williams,1997 Williams,17,8,15,33,0.47058823529411764,0.45454545454545453
1998,McLaren,1998 McLaren,16,9,20,32,0.5625,0.625
1999,McLaren,1999 McLaren,16,7,16,32,0.4375,0.5
2000,Ferrari,2000 Ferrari,17,10,21,34,0.5882352941176471,0.6176470588235294
2001,Ferrari,2001 Ferrari,17,9,24,34,0.5294117647058824,0.7058823529411765
2002,Ferrari,2002 Ferrari,17,15,27,34,0.8823529411764706,0.7941176470588235
2003,Ferrari,2003 Ferrari,16,8,16,32,0.5,0.5
2004,Ferrari,2004 Ferrari,18,15,29,36,0.8333333333333334,0.8055555555555556
2005,Renault,2005 Renault,19,8,18,38,0.42105263157894735,0.47368421052631576
2006,Renault,2006 Renault,18,8,19,36,0.4444444444444444,0.5277777777777778
2007,Ferrari,2007 Ferrari,17,9,22,33,0.5294117647058824,0.6666666666666666
2008,McLaren,2008 McLaren,18,6,13,36,0.3333333333333333,0.3611111111111111
2009,Brawn GP,2009 Brawn GP,17,8,15,34,0.47058823529411764,0.4411764705882353
2010,Red Bull,2010 Red Bull,19,9,20,38,0.47368421052631576,0.5263157894736842
2011,Red Bull,2011 Red Bull,19,12,27,38,0.631578947368421,0.7105263157894737
2012,Red Bull,2012 Red Bull,20,7,14,40,0.35,0.35
2013,Red Bull,2013 Red Bull,19,13,24,38,0.6842105263157895,0.631578947368421
2014,Mercedes,2014 Mercedes,19,16,31,38,0.8421052631578947,0.8157894736842105
2015,Mercedes,2015 Mercedes,19,16,32,38,0.8421052631578947,0.8421052631578947
2016,Mercedes,2016 Mercedes,21,19,33,42,0.9047619047619048,0.7857142857142857
2017,Mercedes,2017 Mercedes,20,12,26,40,0.6,0.65
2018,Mercedes,2018 Mercedes,21,11,25,42,0.5238095238095238,0.5952380952380952
