race,Nico Rosberg,Lewis Hamilton
Australian Grand Prix,2,1
Malaysian Grand Prix,3,2
Chinese Grand Prix,2,1
Bahrain Grand Prix,3,1
Spanish Grand Prix,1,2
Monaco Grand Prix,1,3
Canadian Grand Prix,2,1
Austrian Grand Prix,1,2
British Grand Prix,2,1
Hungarian Grand Prix,8,6
Belgian Grand Prix,2,1
Italian Grand Prix,17,1
Singapore Grand Prix,4,18
Japanese Grand Prix,2,1
Russian Grand Prix,18,1
U.S. Grand Prix,2,1
Mexican Grand Prix,1,2
Brazilian Grand Prix,1,2
Abu Dhabi Grand Prix,1,2
