year,team,p_average,perfect,delta,std,var
1950,Alfa Romeo,5.661111111111111,1.9285714285714286,3.7325396825396826,3.167222173497827,10.031296296296299
1951,Alfa Romeo,7.642857142857143,2.1875,5.455357142857143,4.02817458362848,16.226190476190478
1952,Ferrari,12.63769841269841,3.5625,9.07519841269841,7.652585988435912,58.56207231040564
1953,Ferrari,7.745982142857143,3.111111111111111,4.634871031746032,2.705494246205977,7.319699116253646
1954,Mercedes,6.083333333333333,1.3333333333333333,4.75,1.2371562373263758,1.5305555555555557
1955,Mercedes,7.284722222222221,2.0,5.284722222222221,4.86344190153739,23.65306712962963
1956,Ferrari,8.739285714285714,2.6875,6.051785714285714,2.7455212446386033,7.537886904761905
1957,Maserati,10.175680272108846,4.1875,5.9881802721088455,3.533930383252719,12.488663953676712
1958,Ferrari,8.05,2.0454545454545454,6.004545454545456,1.8820136313645488,3.5419753086419754
1959,Cooper,9.801339285714285,3.7777777777777777,6.023561507936507,2.1354130371630013,4.5599888392857135
1960,Cooper,10.777116402116402,4.45,6.327116402116402,2.4628603090696046,6.065680901990428
1961,Ferrari,9.127083333333333,2.375,6.752083333333333,7.416722511828275,55.00777281746032
1962,BRM,8.750000000000002,1.7777777777777777,6.972222222222224,4.916666666666667,24.173611111111114
1963,Lotus,12.777777777777775,3.85,8.927777777777775,2.8125320187981737,7.910336356764931
1964,Ferrari,7.85,1.6,6.25,4.406399666926657,19.416358024691355
1965,Lotus,11.771666666666665,3.0,8.771666666666665,2.4508382289925534,6.0066080246913565
1966,Brabham,9.514814814814816,2.2777777777777777,7.237037037037038,4.624913245766259,21.389822530864194
1967,Brabham,6.340909090909091,2.0454545454545454,4.295454545454545,2.794949449317899,7.811742424242425
1968,Lotus,9.715277777777777,2.0833333333333335,7.631944444444443,3.351552168179236,11.232901936026938
1969,Matra,6.28030303030303,1.6818181818181819,4.598484848484849,2.852940181070693,8.139267676767677
1970,Lotus,12.619230769230768,2.230769230769231,10.388461538461538,5.949719282803143,35.399159544159545
1971,Tyrrell,7.742424242424243,1.5454545454545454,6.196969696969697,4.821458767475321,23.246464646464645
1972,Lotus,12.305555555555555,1.6666666666666667,10.63888888888889,6.355556438510923,40.39309764309764
1973,Tyrrell,6.988888888888889,1.6,5.388888888888889,6.886686796018462,47.42645502645503
1974,McLaren,9.455555555555556,2.033333333333333,7.4222222222222225,4.819959603773727,23.23201058201058
1975,Ferrari,7.214285714285714,1.5,5.714285714285714,4.602316664606932,21.181318681318675
1976,McLaren,9.15625,1.5,7.65625,6.818403405490174,46.490625
1977,Ferrari,8.0,1.5294117647058822,6.470588235294118,5.291502622129181,28.0
1978,Lotus,9.645833333333334,1.78125,7.864583333333334,6.607760588883348,43.66250000000001
1979,Ferrari,5.2,1.5,3.7,3.6732624658275026,13.492857142857146
1980,Williams,7.0,1.6428571428571428,5.357142857142858,4.462569877831597,19.914529914529915
1981,Brabham,9.866666666666667,1.4666666666666666,8.4,5.183995517340801,26.87380952380952
1982,Williams,8.933333333333334,1.40625,7.527083333333334,5.2842983946603095,27.923809523809524
1983,Brabham,10.733333333333333,1.5,9.233333333333333,4.174183695503772,17.423809523809524
1984,McLaren,6.916666666666667,1.53125,5.385416666666667,4.763285514105667,22.68888888888889
1985,McLaren,9.5,1.5,8.0,4.792355023020171,22.966666666666665
1986,McLaren,8.96875,1.5,7.46875,5.619812422729665,31.582291666666666
1987,Williams,7.3125,1.5,5.8125,6.209871174187111,38.5625
1988,McLaren,4.125,1.5,2.625,4.627814458971607,21.416666666666668
1989,McLaren,8.125,1.5,6.625,7.184474000695296,51.61666666666667
1990,McLaren,7.3125,1.5,5.8125,6.013526419664256,36.1625
1991,McLaren,7.4375,1.5,5.9375,6.303107699116894,39.729166666666664
1992,Williams,6.46875,1.5,4.96875,6.1141059580830515,37.38229166666667
1993,Williams,5.46875,1.5,3.96875,3.3836309392918924,11.448958333333334
1994,Benetton,11.1875,1.5,9.6875,5.498105734402229,30.229166666666668
1995,Benetton,6.676470588235294,1.5,5.176470588235294,4.6231116971911765,21.373161764705884
1996,Williams,4.8125,1.5,3.3125,3.628015986734347,13.1625
1997,Williams,7.823529411764706,1.5,6.323529411764706,4.5412731435915505,20.623161764705884
1998,McLaren,5.78125,1.5,4.28125,5.082547753505781,25.832291666666666
1999,McLaren,7.75,1.5,6.25,4.339738855430512,18.833333333333332
2000,Ferrari,5.764705882352941,1.5,4.264705882352941,3.9651515066373237,15.722426470588237
2001,Ferrari,4.911764705882353,1.5,3.4117647058823533,3.7259029699089687,13.882352941176475
2002,Ferrari,4.235294117647059,1.5,2.735294117647059,3.9730248514939137,15.784926470588234
2003,Ferrari,6.09375,1.5,4.59375,4.424246640201395,19.573958333333334
2004,Ferrari,3.3055555555555554,1.5,1.8055555555555554,2.573272629579655,6.621732026143792
2005,Renault,6.684210526315789,1.5,5.184210526315789,5.4140006934587595,29.31140350877193
2006,Renault,4.916666666666667,1.5,3.416666666666667,3.907948160291972,15.272058823529408
2007,Ferrari,4.9411764705882355,1.5,3.4411764705882355,3.728615497662874,13.902573529411763
2008,McLaren,6.555555555555555,1.5,5.055555555555555,3.6294906825034126,13.173202614379086
2009,Brawn GP,4.882352941176471,1.5,3.382352941176471,3.140110526342514,9.86029411764706
2010,Red Bull,6.052631578947368,1.5,4.552631578947368,5.206552327068549,27.108187134502927
2011,Red Bull,3.473684210526316,1.5,1.973684210526316,3.207948826355343,10.290935672514623
2012,Red Bull,6.475,1.5,4.975,4.8026171593150515,23.065131578947373
2013,Red Bull,4.815789473684211,1.5,3.3157894736842106,3.757254192136524,14.116959064327485
2014,Mercedes,4.2105263157894735,1.5,2.7105263157894735,3.8884293797027714,15.119883040935678
2015,Mercedes,3.210526315789474,1.5,1.710526315789474,3.220230277625448,10.36988304093567
