team,Michael Schumacher,Alain Prost,Ayrton Senna,Lewis Hamilton,Niki Lauda,Alberto Ascari,Juan Manuel Fangio,Sebastian Vettel,Jack Brabham,Jackie Stewart,Nelson Piquet,Emerson Fittipaldi,Fernando Alonso,Graham Hill,Jim Clark,Mika Häkkinen,Alan Jones,Damon Hill,Denny Hulme,Giuseppe Farina,Jacques Villeneuve,James Hunt,Jenson Button,Jochen Rindt,Jody Scheckter,John Surtees,Keke Rosberg,Kimi Räikkönen,Mario Andretti,Mike Hawthorn,Nico Rosberg,Nigel Mansell,Phil Hill
Ferrari,5,,,,2,2,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,1
McLaren,,3,3,1,1,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,
Mercedes,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,
Williams,,1,,,,,,,,,1,,,,,,1,1,,,1,,,,,,1,,,,,1,
Lotus,,,,,,,,,,,,1,,1,2,,,,,,,,,1,,,,,1,,,,
Brabham,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,
Red Bull,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Romeo,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
Benetton,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Renault,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Tyrrell,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Brawn GP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BRM,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Maserati,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Matra,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
