year,constructor_clean,run,races,wins,podiums,available_podium_spots,win_percentage,podium_percentage
1950,Alfa Romeo,1950 Alfa Romeo,7,6,12,18,85.71428571428571,66.66666666666666
1951,Alfa Romeo,1951 Alfa Romeo,9,4,9,21,44.44444444444444,42.857142857142854
1952,Ferrari,1952 Ferrari,8,7,17,22,87.5,77.27272727272727
1953,Ferrari,1953 Ferrari,9,7,16,24,77.77777777777779,66.66666666666666
1954,Mercedes,1954 Mercedes,9,4,7,17,44.44444444444444,41.17647058823529
1955,Mercedes,1955 Mercedes,7,5,10,18,71.42857142857143,55.55555555555556
1956,Ferrari,1956 Ferrari,9,5,10,21,55.55555555555556,47.61904761904761
1957,Maserati,1957 Maserati,9,4,10,21,44.44444444444444,47.61904761904761
1958,Ferrari,1958 Ferrari,11,2,14,29,18.181818181818183,48.275862068965516
1959,Cooper,1959 Cooper,9,5,13,24,55.55555555555556,54.166666666666664
1960,Cooper,1960 Cooper,10,6,14,27,60.0,51.85185185185185
1961,Ferrari,1961 Ferrari,7,5,14,21,71.42857142857143,66.66666666666666
1962,BRM,1962 BRM,9,4,8,19,44.44444444444444,42.10526315789473
1963,Lotus,1963 Lotus,10,7,9,27,70.0,33.33333333333333
1964,Ferrari,1964 Ferrari,10,3,10,22,30.0,45.45454545454545
1965,Lotus,1965 Lotus,10,6,7,23,60.0,30.434782608695656
1966,Brabham,1966 Brabham,9,4,9,17,44.44444444444444,52.94117647058824
1967,Brabham,1967 Brabham,11,4,14,27,36.36363636363637,51.85185185185185
1968,Lotus,1968 Lotus,12,5,9,33,41.66666666666667,27.27272727272727
1969,Matra,1969 Matra,11,6,10,25,54.54545454545454,40.0
1970,Lotus,1970 Lotus,13,6,7,32,46.15384615384615,21.875
1971,Tyrrell,1971 Tyrrell,11,7,11,23,63.63636363636363,47.82608695652174
1972,Lotus,1972 Lotus,12,5,8,27,41.66666666666667,29.629629629629626
1973,Tyrrell,1973 Tyrrell,14,5,15,30,35.714285714285715,50.0
1974,McLaren,1974 McLaren,15,4,10,45,26.666666666666668,22.22222222222222
1975,Ferrari,1975 Ferrari,14,6,11,28,42.857142857142854,39.285714285714285
1976,McLaren,1976 McLaren,16,6,10,32,37.5,31.25
1977,Ferrari,1977 Ferrari,17,4,16,33,23.52941176470588,48.484848484848484
1978,Lotus,1978 Lotus,16,8,14,41,50.0,34.146341463414636
1979,Ferrari,1979 Ferrari,15,6,13,30,40.0,43.333333333333336
1980,Williams,1980 Williams,14,6,18,34,42.857142857142854,52.94117647058824
1981,Brabham,1981 Brabham,15,3,7,29,20.0,24.137931034482758
1982,Williams,1982 Williams,16,1,7,30,6.25,23.333333333333332
1983,Brabham,1983 Brabham,15,4,10,29,26.666666666666668,34.48275862068966
1984,McLaren,1984 McLaren,16,12,18,32,75.0,56.25
1985,McLaren,1985 McLaren,16,6,12,30,37.5,40.0
1986,McLaren,1986 McLaren,16,4,12,32,25.0,37.5
1987,Williams,1987 Williams,16,9,18,30,56.25,60.0
1988,McLaren,1988 McLaren,16,15,25,32,93.75,78.125
1989,McLaren,1989 McLaren,16,10,18,29,62.5,62.06896551724138
1990,McLaren,1990 McLaren,16,6,18,31,37.5,58.06451612903226
1991,McLaren,1991 McLaren,16,8,18,32,50.0,56.25
1992,Williams,1992 Williams,16,10,21,32,62.5,65.625
1993,Williams,1993 Williams,16,10,22,32,62.5,68.75
1994,Benetton,1994 Benetton,16,8,12,29,50.0,41.37931034482759
1995,Benetton,1995 Benetton,17,11,15,34,64.70588235294117,44.11764705882353
1996,Williams,1996 Williams,16,12,21,32,75.0,65.625
1997,Williams,1997 Williams,17,8,15,33,47.05882352941176,45.45454545454545
1998,McLaren,1998 McLaren,16,9,20,32,56.25,62.5
1999,McLaren,1999 McLaren,16,7,16,32,43.75,50.0
2000,Ferrari,2000 Ferrari,17,10,21,34,58.82352941176471,61.76470588235294
2001,Ferrari,2001 Ferrari,17,9,24,34,52.94117647058824,70.58823529411765
2002,Ferrari,2002 Ferrari,17,15,27,34,88.23529411764706,79.41176470588235
2003,Ferrari,2003 Ferrari,16,8,16,32,50.0,50.0
2004,Ferrari,2004 Ferrari,18,15,29,36,83.33333333333334,80.55555555555556
2005,Renault,2005 Renault,19,8,18,38,42.10526315789473,47.368421052631575
2006,Renault,2006 Renault,18,8,19,36,44.44444444444444,52.77777777777778
2007,Ferrari,2007 Ferrari,17,9,22,33,52.94117647058824,66.66666666666666
2008,McLaren,2008 McLaren,18,6,13,36,33.33333333333333,36.11111111111111
2009,Brawn GP,2009 Brawn GP,17,8,15,34,47.05882352941176,44.11764705882353
2010,Red Bull,2010 Red Bull,19,9,20,38,47.368421052631575,52.63157894736842
2011,Red Bull,2011 Red Bull,19,12,27,38,63.1578947368421,71.05263157894737
2012,Red Bull,2012 Red Bull,20,7,14,40,35.0,35.0
2013,Red Bull,2013 Red Bull,19,13,24,38,68.42105263157895,63.1578947368421
2014,Mercedes,2014 Mercedes,19,16,31,38,84.21052631578947,81.57894736842105
2015,Mercedes,2015 Mercedes,19,16,32,38,84.21052631578947,84.21052631578947
2016,Mercedes,2016 Mercedes,21,19,33,42,90.47619047619048,78.57142857142857
2017,Mercedes,2017 Mercedes,20,12,26,40,60.0,65.0
2018,Mercedes,2018 Mercedes,21,11,25,42,52.38095238095239,59.523809523809526
