year,team,wins,races,win_percentage,podium_spots_claimed,podium_spots_available,podium_percentage,run_id
1950,Alfa Romeo,6,7,85.71428571428571,12,18,66.66666666666666,Alfa Romeo 1950
1951,Alfa Romeo,4,8,50.0,9,21,42.857142857142854,Alfa Romeo 1951
1952,Ferrari,7,8,87.5,17,22,77.27272727272727,Ferrari 1952
1953,Ferrari,7,9,77.77777777777779,16,24,66.66666666666666,Ferrari 1953
1954,Mercedes,4,9,44.44444444444444,7,17,41.17647058823529,Mercedes 1954
1955,Mercedes,5,7,71.42857142857143,10,18,55.55555555555556,Mercedes 1955
1956,Ferrari,5,8,62.5,10,21,47.61904761904761,Ferrari 1956
1957,Maserati,4,8,50.0,10,21,47.61904761904761,Maserati 1957
1958,Ferrari,2,11,18.181818181818183,14,30,46.666666666666664,Ferrari 1958
1959,Cooper,5,9,55.55555555555556,13,24,54.166666666666664,Cooper 1959
1960,Cooper,6,10,60.0,14,27,51.85185185185185,Cooper 1960
1961,Ferrari,5,8,62.5,14,24,58.333333333333336,Ferrari 1961
1962,BRM,4,9,44.44444444444444,8,22,36.36363636363637,BRM 1962
1963,Lotus,7,10,70.0,9,30,30.0,Lotus 1963
1964,Ferrari,3,10,30.0,10,22,45.45454545454545,Ferrari 1964
1965,Lotus,6,10,60.0,7,30,23.333333333333332,Lotus 1965
1966,Brabham,4,9,44.44444444444444,9,24,37.5,Brabham 1966
1967,Brabham,4,11,36.36363636363637,14,31,45.16129032258064,Brabham 1967
1968,Lotus,5,12,41.66666666666667,9,35,25.71428571428571,Lotus 1968
1969,Matra,6,11,54.54545454545454,10,26,38.46153846153847,Matra 1969
1970,Lotus,6,13,46.15384615384615,7,37,18.91891891891892,Lotus 1970
1971,Tyrrell,7,11,63.63636363636363,11,23,47.82608695652174,Tyrrell 1971
1972,Lotus,5,12,41.66666666666667,8,27,29.629629629629626,Lotus 1972
1973,Tyrrell,5,15,33.33333333333333,15,33,45.45454545454545,Tyrrell 1973
1974,McLaren,4,15,26.666666666666668,10,45,22.22222222222222,McLaren 1974
1975,Ferrari,6,14,42.857142857142854,11,28,39.285714285714285,Ferrari 1975
1976,McLaren,6,16,37.5,10,32,31.25,McLaren 1976
1977,Ferrari,4,17,23.52941176470588,16,35,45.714285714285715,Ferrari 1977
1978,Lotus,8,16,50.0,14,41,34.146341463414636,Lotus 1978
1979,Ferrari,6,15,40.0,13,30,43.333333333333336,Ferrari 1979
1980,Williams,6,14,42.857142857142854,18,32,56.25,Williams 1980
1981,Brabham,3,15,20.0,7,29,24.137931034482758,Brabham 1981
1982,Williams,1,16,6.25,7,30,23.333333333333332,Williams 1982
1983,Brabham,4,15,26.666666666666668,10,30,33.33333333333333,Brabham 1983
1984,McLaren,12,16,75.0,18,33,54.54545454545454,McLaren 1984
1985,McLaren,6,16,37.5,12,32,37.5,McLaren 1985
1986,McLaren,4,16,25.0,12,32,37.5,McLaren 1986
1987,Williams,9,16,56.25,18,32,56.25,Williams 1987
1988,McLaren,15,16,93.75,25,32,78.125,McLaren 1988
1989,McLaren,10,16,62.5,18,32,56.25,McLaren 1989
1990,McLaren,6,16,37.5,18,32,56.25,McLaren 1990
1991,McLaren,8,16,50.0,18,32,56.25,McLaren 1991
1992,Williams,10,16,62.5,21,32,65.625,Williams 1992
1993,Williams,10,16,62.5,22,32,68.75,Williams 1993
1994,Benetton,8,16,50.0,12,32,37.5,Benetton 1994
1995,Benetton,11,17,64.70588235294117,15,34,44.11764705882353,Benetton 1995
1996,Williams,12,16,75.0,21,32,65.625,Williams 1996
1997,Williams,8,17,47.05882352941176,15,34,44.11764705882353,Williams 1997
1998,McLaren,9,16,56.25,20,32,62.5,McLaren 1998
1999,McLaren,7,16,43.75,16,32,50.0,McLaren 1999
2000,Ferrari,10,17,58.82352941176471,21,34,61.76470588235294,Ferrari 2000
2001,Ferrari,9,17,52.94117647058824,24,34,70.58823529411765,Ferrari 2001
2002,Ferrari,15,17,88.23529411764706,27,34,79.41176470588235,Ferrari 2002
2003,Ferrari,8,16,50.0,16,32,50.0,Ferrari 2003
2004,Ferrari,15,18,83.33333333333334,29,36,80.55555555555556,Ferrari 2004
2005,Renault,8,19,42.10526315789473,18,38,47.368421052631575,Renault 2005
2006,Renault,8,18,44.44444444444444,19,36,52.77777777777778,Renault 2006
2007,Ferrari,9,17,52.94117647058824,22,34,64.70588235294117,Ferrari 2007
2008,McLaren,6,18,33.33333333333333,13,36,36.11111111111111,McLaren 2008
2009,Brawn GP,8,17,47.05882352941176,15,34,44.11764705882353,Brawn GP 2009
2010,Red Bull,9,19,47.368421052631575,20,38,52.63157894736842,Red Bull 2010
2011,Red Bull,12,19,63.1578947368421,27,38,71.05263157894737,Red Bull 2011
2012,Red Bull,7,20,35.0,14,40,35.0,Red Bull 2012
2013,Red Bull,13,19,68.42105263157895,24,38,63.1578947368421,Red Bull 2013
2014,Mercedes,16,19,84.21052631578947,31,38,81.57894736842105,Mercedes 2014
2015,Mercedes,16,19,84.21052631578947,32,38,84.21052631578947,Mercedes 2015
2016,Mercedes,19,21,90.47619047619048,33,42,78.57142857142857,Mercedes 2016
2017,Mercedes,12,20,60.0,26,40,65.0,Mercedes 2017
2018,Mercedes,11,21,52.38095238095239,25,42,59.523809523809526,Mercedes 2018
