raceId2,driverName,grid,positionOrder,points,year,round,prixName
501,Ayrton Senna,1,1,10,1991,1,United States Grand Prix
502,Ayrton Senna,1,1,10,1991,2,Brazilian Grand Prix
503,Ayrton Senna,1,1,10,1991,3,San Marino Grand Prix
504,Ayrton Senna,1,1,10,1991,4,Monaco Grand Prix
505,Ayrton Senna,3,19,0,1991,5,Canadian Grand Prix
506,Ayrton Senna,3,3,4,1991,6,Mexican Grand Prix
507,Ayrton Senna,3,3,4,1991,7,French Grand Prix
508,Ayrton Senna,2,4,3,1991,8,British Grand Prix
509,Ayrton Senna,2,7,0,1991,9,German Grand Prix
510,Ayrton Senna,1,1,10,1991,10,Hungarian Grand Prix
511,Ayrton Senna,1,1,10,1991,11,Belgian Grand Prix
512,Ayrton Senna,1,2,6,1991,12,Italian Grand Prix
513,Ayrton Senna,3,2,6,1991,13,Portuguese Grand Prix
514,Ayrton Senna,3,5,2,1991,14,Spanish Grand Prix
515,Ayrton Senna,2,2,6,1991,15,Japanese Grand Prix
516,Ayrton Senna,1,1,5,1991,16,Australian Grand Prix
501,Nigel Mansell,4,20,0,1991,1,United States Grand Prix
502,Nigel Mansell,3,14,0,1991,2,Brazilian Grand Prix
503,Nigel Mansell,4,25,0,1991,3,San Marino Grand Prix
504,Nigel Mansell,5,2,6,1991,4,Monaco Grand Prix
505,Nigel Mansell,2,6,1,1991,5,Canadian Grand Prix
506,Nigel Mansell,2,2,6,1991,6,Mexican Grand Prix
507,Nigel Mansell,4,1,10,1991,7,French Grand Prix
508,Nigel Mansell,1,1,10,1991,8,British Grand Prix
509,Nigel Mansell,1,1,10,1991,9,German Grand Prix
510,Nigel Mansell,3,2,6,1991,10,Hungarian Grand Prix
511,Nigel Mansell,3,20,0,1991,11,Belgian Grand Prix
512,Nigel Mansell,2,1,10,1991,12,Italian Grand Prix
513,Nigel Mansell,4,19,0,1991,13,Portuguese Grand Prix
514,Nigel Mansell,2,1,10,1991,14,Spanish Grand Prix
515,Nigel Mansell,3,19,0,1991,15,Japanese Grand Prix
516,Nigel Mansell,3,2,3,1991,16,Australian Grand Prix
